city_name,overall_risk,general_fund_reserves_risk,debt_burden_risk,liquidity_risk,revenue_trends_risk,pension_obligations_risk,pension_funding_risk,pension_costs_risk,future_pension_costs_risk,opeb_obligations_risk,opeb_funding_risk,overall_points,general_fund_reserves_points,debt_burden_points,liquidity_points,revenue_trends_points,pension_obligations_points,pension_funding_points,pension_costs_points,future_pension_costs_points,opeb_obligations_points,opeb_funding_points,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,population,unemployment_rate,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,end_year,county_name,zip,entity_name,eligible,total_registered,democratic,republican,american_independent,green,libertarian,peace_and_freedom,unknown,other,no_party_preference,AMI
Auburn,Moderate,LOW,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,68.16,18.38,12.91,10,3.25,5.2,3.7,3.33,1.39,10,0,0.48,0.45,6.26,0.06,0.85,0.74,0.06,0.13,0.07,0,13971,0.042,3998598,638644,9723293,21780633,0.14,5796166,12137931,4551958,5823198,5796166,10563441,11332517,11867231,15057902,3445000,47370947,64301074,1314609,2784631.96,1604849,2017,Placer,95603,Auburn,287216,270599,82925,112511,9595,889,4610,609,1288,1261,56911,102200
Avalon,Moderate,MODERATE,LOW,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,66.97,8.95,14.74,10,3,9.36,3.7,3.89,3.33,10,0,0.27,0.23,5.6,0.04,0.33,0.74,0.04,0.06,0.16,0,3743,0.004,3289174,587827,6364776,27665895,-0.11,3604944,13521881,5689906,7317587,3604944,9746958,12271213,9900785,9220858,0,27891282,37590073,1178185,1702745.57,4531425,2017,Los Angeles,90704,Avalon,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Avenal,Low,LOW,MODERATE,LOW,HIGH,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,82.53,30,11.33,10,2.25,10,3.85,3.61,3.33,8.16,0,1.18,0.64,17.41,-0.02,0.23,0.77,0.05,0.06,0.48,0,12407,0.14,6111276,350969,6887701,10826000,-0.08,5765272,4903321,6854203,6769890,5765272,4154876,4573740,3927414,2464592,0,9252307,12001497,505516,685270.79,5151665,2017,Kings,93204,Avenal,82674,60100,19995,23874,1981,147,644,275,420,280,12484,80300
Azusa,Moderate,MODERATE,MODERATE,LOW,HIGH,MODERATE,MODERATE,LOW,HIGH,LOW,HIGH,58.58,10.26,10.41,10,1.63,7.44,3.65,3.61,2.22,9.36,0,0.26,0.75,2.07,-0.07,0.57,0.73,0.05,0.1,0.33,0,49799,0.048,12627062,6100909,88064305,117788588,0.96,10424782,40448116,2752257,5833733,10424782,48037852,39238567,40759058,66340026,1175000,202135142,276077290,5872821,11289059.57,39003630,2017,Los Angeles,91702-1395,Azusa,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Bakersfield,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,57.47,7.38,11.83,10,2.63,5.36,3.4,3.33,1.39,10,2.15,0.21,0.58,3.58,0.01,0.83,0.68,0.06,0.13,0.16,0.43,377940,0.064,23915718,6683124,275355954,471352099,-0.02,39243163,189917464,40779089,41821284,39243163,183913505,188608894,186789368,391476697,0,882475320,1298130929,29826356,60694572.54,74352664,2017,Kern,93307,Bakersfield,534022,425839,145595,157265,15674,1130,4539,2303,3902,1280,94151,80300
Baldwin Park,Moderate,LOW,MODERATE,LOW,MODERATE,HIGH,MODERATE,MODERATE,HIGH,MODERATE,HIGH,61.6,18.16,13.08,10,2.63,3.84,3.6,3.33,0,6.96,0,0.46,0.43,7.37,0.01,1.02,0.72,0.06,0.18,0.63,0,75948,0.051,13743871,1864488,20251520,46916847,0.38,13750999,30191126,8237796,15223945,13750999,26987579,26302068,27306799,45931311,1795000,134906318,187673975,2903338,8336679.34,29373517,2017,Los Angeles,91706,Baldwin Park,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Banning,Low,LOW,MODERATE,LOW,MODERATE,MODERATE,HIGH,LOW,MODERATE,LOW,LOW,84.12,30,8.58,10,2.63,7.84,3.4,3.89,2.78,10,5,0.87,0.97,4.66,0.01,0.52,0.68,0.04,0.08,NA,NA,31160,0.063,12913542,2773598,69512361,71355404,0.17,13255127,15232733,9796496,12199544,13255127,15414013,16148892,15583618,36874331,0,83114410,122125414,3061547,5391798.47,NA,2017,Riverside,92220,Banning,1492076,1241552,492967,404400,44128,3578,11757,6049,5660,6322,266691,87400
Barstow,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,MODERATE,HIGH,HIGH,LOW,HIGH,59.04,13.26,11.66,10,2.63,4.16,3.95,1.94,1.39,9.6,0.45,0.42,0.6,3.52,0.01,0.98,0.79,0.11,0.13,0.3,0.09,23981,0.067,4922552,1396474,20719758,34474513,-0.21,9222550,22196164,14466701,12063100,9222550,18103251,17876601,18169988,33844017,0,135098290.266206,171665652.266206,3647513,4408470.03,10252800,2017,San Bernardino,92311-2888,Barstow,1331471,1102687,450725,328307,42655,3437,10315,6782,6675,6643,247148,87400
Beaumont,Moderate,MODERATE,HIGH,MODERATE,MODERATE,LOW,MODERATE,LOW,LOW,LOW,LOW,52.14,6.71,0,5.6,3.25,10,3.8,4.17,3.61,10,5,0.17,3.23,1.12,0.06,0.22,0.76,0.03,0.05,NA,NA,46848,0.04,3996907,3575449,216259469,66910624,1.3,5034141,29493979,-7438424,-4296822,5034141,24839619,26116266,28055975,14820776,0,51719171,68082587,2097942,3271962.71,NA,2017,Riverside,92223,Beaumont,1492076,1241552,492967,404400,44128,3578,11757,6049,5660,6322,266691,87400
Bell,Moderate,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MODERATE,HIGH,MODERATE,HIGH,60.61,30,1.33,10,2.38,2.48,3.4,2.78,0.56,7.68,0,1.35,1.84,16.15,-0.01,1.19,0.68,0.08,0.16,0.54,0,35596,0.054,19159296,1186627,53818168,29291022,0.05,20467803,15189684,18693851,19710129,20467803,13956850,13580013,13856722,31971126,2810000,75809933,110717969,2374094,4792581.2,15809016,2017,Los Angeles,90201-1291,Bell,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
