city_name,overall_risk,general_fund_reserves_risk,debt_burden_risk,liquidity_risk,revenue_trends_risk,pension_obligations_risk,pension_funding_risk,pension_costs_risk,future_pension_costs_risk,opeb_obligations_risk,opeb_funding_risk,overall_points,general_fund_reserves_points,debt_burden_points,liquidity_points,revenue_trends_points,pension_obligations_points,pension_funding_points,pension_costs_points,future_pension_costs_points,opeb_obligations_points,opeb_funding_points,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,population,unemployment_rate,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,end_year,county_name,zip,entity_name,eligible,total_registered,democratic,republican,american_independent,green,libertarian,peace_and_freedom,unknown,other,no_party_preference,AMI
Livingston,Low,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,76.09,19.34,12.5,10,3.38,9.52,3.85,4.17,3.33,10,0,0.49,0.5,4.99,0.07,0.31,0.77,0.03,0.06,0.14,0,14417,0.042,3051883,611467,9182174,18394543,0.2,3134116,6415157,2175404,2668309,3134116,5899436,6022089,6764720,5751838,0,18726481,24402565,502382,1079468.03,2546587,2018,Merced,95334,Livingston,161916,117174,50327,33523,4176,366,1068,670,154,342,26548,80300
Lodi,Moderate,MODERATE,HIGH,LOW,MODERATE,MODERATE,HIGH,LOW,HIGH,LOW,HIGH,61.78,15.63,8.25,10,2.75,5.92,3.25,3.61,2.22,10,0.15,0.4,1.01,4.41,0.02,0.76,0.65,0.05,0.1,0.19,0.03,67003,0.059,18821161,4271334,180400292,179313268,0.19,18767905,47437758,13214670,14968357,18767905,43143221,44221656,45288116,135928331,0,256730896,393016747,9171033,17296423.49,33275362,2018,San Joaquin,95241-1910,Lodi,466484,366394,158590,105540,11974,1019,3414,2001,3352,1597,78907,85000
Loma Linda,Low,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,86.71,30,11.5,10,3.63,8.56,3.75,3.89,3.33,10,2.05,0.81,0.62,7.89,0.09,0.43,0.75,0.04,0.06,0.01,0.41,24331,0.026,15229490,1930667,23254159,37423984,0.11,15738526,19392350,12820169,13517041,15738526,17109421,18033762,20417033,16250803,0,47818899,63912073,1526424,2161064.64,504586,2018,San Bernardino,92354,Loma Linda,1331471,1102687,450725,328307,42655,3437,10315,6782,6675,6643,247148,87400
Lomita,Low,LOW,LOW,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,79.3,24.32,13.49,10,2.75,8.16,3.6,3.89,3.33,9.76,0,0.67,0.38,6.78,0.02,0.48,0.72,0.04,0.06,0.28,0,20448,0.041,6354792,937670,7165344,18669211,0.05,6366662,9467625,5879989,6813791,6366662,8689724,8676010,9021984,9009203,0,21041107,29144192,799367,1154585.18,5314261,2018,Los Angeles,90717,Lomita,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Lompoc,Moderate,HIGH,HIGH,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,49.72,2.21,8.33,10,3.25,5.6,3.55,3.06,1.67,10,2.05,0.07,1,2.11,0.06,0.8,0.71,0.07,0.12,0.14,0.41,42689,0.052,4450582,2113078,103397456,103247153,-0.26,2511283,33899602,4505550,3436793,2511283,25654700,27344280,28354129,82464700,0,206786302,292038469,6844107,12461847.6,14966734,2018,Santa Barbara,93438,Lompoc,291962,235198,109182,59601,7071,1020,2161,856,1518,1357,52432,100100
Long Beach,Moderate,MODERATE,HIGH,LOW,MODERATE,MODERATE,MODERATE,LOW,MODERATE,LOW,HIGH,52.48,9.48,1.75,10,3.75,7.44,3.95,3.61,2.5,10,0,0.25,1.79,2.8,0.1,0.57,0.79,0.05,0.09,0.03,0,465865,0.047,109226000,39053000,3375630000,1886182000,0.13,130175000,531055000,105984000,98412000,130175000,423209000,455716000,506342000,1056334000,19283000,4078326513,5134661868,99715000,177142799.16,51501000,2018,Los Angeles,90802,Long Beach,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Loomis,Low,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,92.66,30,15,10,4,10,4.5,4.72,4.44,10,0,0.98,0.01,25.47,0.12,0.16,0.9,0.01,0.02,0.02,0,6819,0.038,3582929,140695,93213,7397144,0.08,4027319,4127037,3611910,4547799,4027319,3399534,3462069,4201003,1205984,0,5011983,5582261,45298,176882.51,183813,2018,Placer,95650,Loomis,287216,270599,82925,112511,9595,889,4610,609,1288,1261,56911,102200
Los Alamitos,Moderate,LOW,LOW,LOW,MODERATE,HIGH,MODERATE,HIGH,HIGH,LOW,HIGH,63.79,19.76,13.83,10,3,1.76,3.7,2.22,0,9.52,0,0.55,0.34,6.63,0.04,1.28,0.74,0.1,0.19,0.31,0,11458,0.031,7666628,1156079,4995324,14748874,0.03,7710346,13938162,7349748,7537915,7710346,12824730,12927832,13712259,18846694,0,53049705,71903318,1454805,2765665.62,4517345,2018,Orange,90720,Los Alamitos,2000842,1772700,648537,606174,50404,5078,17899,5961,2257,4955,431435,119100
Los Altos,Low,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,86.05,30,15,10,3.13,6.4,3.65,3.33,1.94,10,2.6,1.09,0.13,19.38,0.05,0.7,0.73,0.06,0.11,0.03,0.52,30456,0.025,43776183,2258774,6554640,51695682,0.08,43461831,39757924,37599187,43778103,43461831,37714800,39109065,41177393,36185071,0,97984170,134126262,3160073,5677251.68,1540000,2018,Santa Clara,94022,Los Altos,1205945,1019309,504474,172323,22686,3524,7822,3685,253,2742,301800,168500
Los Altos Hills,Low,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,LOW,LOW,LOW,93.99,30,15,10,4.13,10,4.35,1.94,4.17,10,4.4,0.98,0.01,3.94,0.13,0.22,0.87,0.11,0.03,0.02,0.88,8530,NA,15215255,3865437,112575,15328395,0.11,11729294,11983975,9721176,12457874,11729294,8813003,9353072,11255395,3400941,0,12836645,14727048,1640692,439292.32,302473,2018,Santa Clara,94022,Los Altos Hills,1205945,1019309,504474,172323,22686,3524,7822,3685,253,2742,301800,168500
Los Angeles,Moderate,HIGH,HIGH,LOW,MODERATE,MODERATE,LOW,MODERATE,LOW,LOW,HIGH,49.22,5.5,0,8.7,3,7.76,4.2,2.78,3.88,10,3.4,0.16,2.02,1.74,0.04,0.53,0.84,0.08,NA,0.18,0.68,3977596,0.046,1058705000,606897000,32380740000,15996382000,-0.05,887392000,5484106000,984155000,840748000,887392000,4893037000,5007604000,5249932000,8438197000,0,43491137000,51929334000,1335339000,NA,2813913000,2018,Los Angeles,90012,Los Angeles,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Los Banos,Low,LOW,LOW,LOW,MODERATE,LOW,MODERATE,MODERATE,MODERATE,LOW,HIGH,87.28,30,15,10,3.38,8.56,3.7,3.33,2.78,9.28,1.25,0.86,0.14,8.03,0.07,0.43,0.74,0.06,0.08,0.34,0.25,39960,0.105,13166280,1639305,7237251,52618647,0.05,13120621,15240556,11974399,12283423,13120621,14210112,14885169,16063614,22419524,0,60907880,82703949,2960775,3978189.05,17883924,2018,Merced,93635,Los Banos,161916,117174,50327,33523,4176,366,1068,670,154,342,26548,80300
Los Gatos,Low,LOW,LOW,LOW,MODERATE,HIGH,MODERATE,HIGH,HIGH,LOW,HIGH,78.2,30,15,10,2.75,2.24,3.6,1.94,0,9.92,2.75,0.76,0.09,3.6,0.02,1.22,0.72,0.11,0.18,0.26,0.55,30599,0.028,37907933,10532270,4049304,43775789,0.02,30428684,40257940,29574272,29180624,30428684,39516979,38746123,40529416,53204508,0,139711753,193339744,4620844,7994226.99,11165000,2018,Santa Clara,95031,Los Gatos,1205945,1019309,504474,172323,22686,3524,7822,3685,253,2742,301800,168500
Loyalton,Low,LOW,HIGH,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,79.85,30,0,4.85,5,10,5,5,5,10,5,1.62,3.39,0.97,0.46,NA,NA,NA,NA,NA,NA,702,0.064,357393,367897,5048160,1487261,0.56,418309,257443,175087,236946,418309,224014,301045,472116,NA,NA,NA,NA,NA,NA,NA,2018,Sierra,96118,Loyalton,2609,2261,648,972,128,15,34,1,1,40,422,90000
Lynwood,Moderate,HIGH,MODERATE,HIGH,LOW,MODERATE,MODERATE,LOW,MODERATE,LOW,HIGH,51.23,5.92,8.83,3.1,4.13,7.52,3.65,4.72,3.33,9.28,0.75,0.15,0.94,0.62,0.13,0.56,0.73,0.01,0.06,0.34,0.15,70285,0.054,4651568,7525529,61420453,65421968,0.47,4872143,33347239,2453365,2562442,4872143,25720836,26907699,32562763,36832099,0,85731178,117995702,481149,3697658.91,22447807,2018,Los Angeles,90262,Lynwood,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Madera,Moderate,LOW,MODERATE,LOW,LOW,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,70.98,20.46,10.5,10,4.25,6.72,3.5,3.33,2.22,10,0,0.54,0.74,7.78,0.14,0.66,0.7,0.06,0.1,0.05,0,65440,0.079,14617087,1878367,50570759,68568439,0.12,17446826,32291971,14078991,15168000,17446826,22806629,24908547,29482146,45385894,0,105659515,151568164,4336786,6698526.27,3169504,2018,Madera,93637,Madera,90184,67909,22342,26916,2428,191,667,388,424,349,14204,80300
Malibu,Low,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,MODERATE,89.32,30,9.16,10,3.25,10,4,4.72,4.44,10,3.75,1.41,0.9,15.75,0.06,0.1,0.8,0.01,0.02,0.03,0.75,12757,0.029,35578012,2259261,50198711,56018914,0.2,40118222,28411022,28249729,33786722,40118222,30569753,30593272,33819089,5545643,0,21324237,26762799,753756,1354251.59,1467000,2018,Los Angeles,90265,Malibu,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Mammoth Lakes,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,HIGH,LOW,MODERATE,LOW,HIGH,59.97,7.89,10.16,9.2,3.63,7.92,3.5,3.89,3.33,10,0.45,0.2,0.78,1.84,0.09,0.51,0.7,0.04,0.06,0.09,0.09,8220,0.004,7522777,4090381,33092323,42159777,0.84,5724510,28427911,2127598,5687184,5724510,23912413,28225760,27953084,21463818,0,49325236,70370003,1889553,2670208.67,3699902,2018,Mono,93546,Mammoth Lakes,9232,7831,3030,2356,295,54,104,36,5,20,1931,81200
Manhattan Beach,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,LOW,68.67,12.75,13.08,10,3,6.32,3.8,3.33,1.39,10,5,0.34,0.43,3.87,0.04,0.71,0.76,0.06,0.13,-0.04,1.65,35418,0.034,24741761,6400407,45152504,105530921,0.1,23860400,70008530,19883693,23367583,23860400,66768157,69352157,71608819,74711389,0,234810786,309740189,6654361,13196690.99,NA,2018,Los Angeles,90266-1040,Manhattan Beach,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Manteca,Low,LOW,MODERATE,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,81.59,30,12.58,10,3.5,6.56,3.4,3.33,2.22,10,0,0.78,0.49,11.02,0.08,0.68,0.68,0.06,0.1,0.21,0,81603,0.045,30142534,2734230,80843098,166213869,0.1,30107459,38711232,25223096,27480751,30107459,35568183,38403438,41272030,112754563,0,230415503,339681477,10522989,16327756.58,34115000,2018,San Joaquin,95337,Manteca,466484,366394,158590,105540,11974,1019,3414,2001,3352,1597,78907,85000
Maricopa,Low,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,LOW,98.25,30,15,10,3.25,10,5,5,5,10,5,1.31,0,30.38,0.06,NA,NA,NA,NA,NA,NA,1194,0.111,294271,9685,0,924295,0.02,383486,293168,370238,383505,383486,259848,276063,293149,NA,NA,NA,NA,NA,NA,NA,2018,Kern,93252,Maricopa,534022,425839,145595,157265,15674,1130,4539,2303,3902,1280,94151,80300
Marina,Moderate,LOW,HIGH,LOW,HIGH,LOW,MODERATE,MODERATE,MODERATE,LOW,HIGH,66.23,22.5,5.5,10,0,8.32,3.8,3.33,2.78,10,0,0.57,1.34,3.52,-0.26,0.46,0.76,0.06,0.08,0.1,0,22456,0.032,12703836,3608354,55434374,41457351,0.3,11524099,20056615,6911396,8345964,11524099,56836455,20998269,23534750,18897109,145000,60532547,79494697,2524388,3343168.74,4093174,2018,Monterey,93933,Marina,244481,206917,107230,41877,5558,922,1614,908,1941,193,46674,90100
Martinez,Moderate,LOW,MODERATE,LOW,HIGH,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,66.37,17.92,10.08,10,2.25,5.2,3.6,2.78,1.94,10,2.6,0.51,0.79,6.35,-0.02,0.85,0.72,0.08,0.11,0.2,0.52,38406,0.03,12682009,1997415,38255838,48488790,-0.02,12358561,24067223,12891020,13683283,12358561,22896354,22210623,22232253,40989108,0,102476444,142887180,3695280,5472454.64,9596970,2018,Contra Costa,94553,Martinez,758611,703021,369254,134553,20406,2700,5529,2545,2809,2178,163047,142800
Marysville,Moderate,MODERATE,HIGH,LOW,LOW,HIGH,HIGH,MODERATE,HIGH,LOW,HIGH,46.93,10.26,0,10,5,4,3.5,2.78,1.39,10,0,0.26,2.21,2.51,0.22,1,0.7,0.08,0.13,0,0,12452,0.059,3021330,1204880,32046512,14503962,2.32,2441490,9389502,269731,1273110,2441490,6754156,8371179,9927864,14454965,0,33228710,47691592,1122472,1830479.5,36489,2018,Yuba,95901,Marysville,51819,39626,11118,15756,1897,147,552,225,361,212,9358,80300
Maywood,Moderate,HIGH,HIGH,MODERATE,LOW,HIGH,HIGH,MODERATE,HIGH,LOW,HIGH,42.79,4.48,7.58,6.35,5,2.16,3.05,2.78,1.39,10,0,0.14,1.09,1.27,0.23,1.23,0.61,0.08,0.13,0.2,0,27196,0.044,4993993,3941041,15352647,14131282,-0.17,1565885,10843678,2537274,1438560,1565885,7436614,8042099,10989452,17433755,0,27514780,44901008,1093578,1851992.6,2875410,2018,Los Angeles,90270,Maywood,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
McFarland,Moderate,MODERATE,HIGH,HIGH,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,49.81,9.81,0,0,0,10,5,5,5,10,5,0.27,NA,0,NA,NA,NA,NA,NA,NA,NA,15139,0.103,0,490143,NA,NA,0.05,2234266,8156673,2144061,2754139,2234266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,Kern,93250,McFarland,534022,425839,145595,157265,15674,1130,4539,2303,3902,1280,94151,80300
Mendota,Low,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,LOW,83.98,20.13,11.66,10,2.75,10,5,4.72,4.72,10,5,0.51,0.6,5.85,0.02,0,1.03,0.01,0.01,NA,NA,11526,0.176,808757,138307,5921737,9895846,0.91,1017426,2004495,856513,292370,1017426,2286987,2156903,2340269,0,0,146054,141788,74542,121497.88,NA,2018,Fresno,93640,Mendota,605256,496482,195697,161696,16558,1462,4252,2542,2304,4197,107774,80300
Menifee,Low,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,86.82,22.5,15,10,5,10,4.6,5,4.72,10,0,0.57,0.18,2.44,0.34,0.01,0.92,0,0.01,0,0,92249,0.043,31335449,12843437,18975498,107459408,0.77,24827362,43628952,8041821,12552969,24827362,32148468,35830906,55729807,551431,0,5680560,6180399,524088,591284.67,181271,2018,Riverside,92586,Menifee,1492076,1241552,492967,404400,44128,3578,11757,6049,5660,6322,266691,87400
Menlo Park,Low,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,LOW,82.62,23,14.24,10,3.75,7.28,3.8,3.33,2.22,10,5,0.62,0.29,5.43,0.1,0.59,0.76,0.06,0.1,-0.02,1.1,34500,0.021,37150640,6839728,28663052,97986553,0.09,35711323,57581150,30342943,31822736,35711323,51089111,52989466,60990425,57357994,0,175978902,231587825,5554618,9731908.25,NA,2018,San Mateo,94025,Menlo Park,504398,442988,242349,64016,9802,1726,2952,1315,2172,2068,116588,166000
Merced,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,65.2,14.47,12.5,10,3.25,6,3.65,3.33,1.94,9.76,0.3,0.39,0.5,8.15,0.06,0.75,0.73,0.06,0.11,0.28,0.06,83113,0.069,18228705,2236324,58769455,117651200,0.09,15616507,40203425,13208816,15192640,15616507,35805318,37906962,39986340,83699839,4350000,227456379,311636377,7122814,13280847.12,32387000,2018,Merced,95340,Merced,161916,117174,50327,33523,4176,366,1068,670,154,342,26548,80300
Mill Valley,Moderate,MODERATE,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,60.3,8.98,14.08,10,3.5,5.44,3.75,3.06,1.67,8.32,1.5,0.25,0.31,4.54,0.08,0.82,0.75,0.07,0.12,0.46,0.3,14296,0.016,10185397,2241066,15528015,50224669,0.02,8517509,34108165,8228756,7750455,8517509,29977718,32111083,34739931,38221086,3170000,112462480,150653761,3278220,6138641.99,23111051,2018,Marin,94941,Mill Valley,180089,175192,105707,23248,4240,1023,1261,333,528,614,38238,166000
Millbrae,Moderate,LOW,HIGH,LOW,MODERATE,HIGH,MODERATE,MODERATE,HIGH,LOW,HIGH,64.56,19.8,7.16,10,3,3.28,3.55,3.33,1.94,10,2.5,0.57,1.14,8.64,0.04,1.09,0.71,0.06,0.11,0.12,0.5,22530,0.022,19354262,2239994,65171867,57240072,-0.04,19258511,33641468,20933888,23072970,19258511,28214447,29309882,30075698,48739905,13725187,116541154,165289968,3312932,6206296.6,7018509,2018,San Mateo,94030,Millbrae,504398,442988,242349,64016,9802,1726,2952,1315,2172,2068,116588,166000
Milpitas,Low,LOW,LOW,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,82.45,30,15,10,3.5,4.08,3.35,2.78,1.39,10,2.35,0.98,0.1,6.19,0.08,0.99,0.67,0.08,0.13,0.23,0.47,80208,0.028,92184730,14891687,19455894,189194742,0.64,82767859,84611704,30901414,52532102,82767859,85722396,91988094,99123231,186770421,0,388059299,575155380,15491069,25408802.72,44413773,2018,Santa Clara,95035,Milpitas,1205945,1019309,504474,172323,22686,3524,7822,3685,253,2742,301800,168500
Mission Viejo,Low,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,LOW,77.51,16.32,12.25,10,2.63,9.68,3.85,4.17,3.61,10,5,0.47,0.53,4.62,0.01,0.29,0.77,0.03,0.05,-0.01,1.1,94925,0.03,31420073,6803293,39021863,74240476,-0.04,29485180,62183752,31752597,31019396,29485180,57233284,59120350,58672375,21733300,0,68649273,88649132,2237110,3781967.01,NA,2018,Orange,92691,Mission Viejo,2000842,1772700,648537,606174,50404,5078,17899,5961,2257,4955,431435,119100
Modesto,Moderate,HIGH,HIGH,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,44.99,5.97,5.16,7.6,3,5.04,3.5,3.33,1.39,10,0,0.17,1.38,1.52,0.04,0.87,0.7,0.06,0.13,0.08,0,214389,0.059,15620367,10254295,493619192,357631225,-0.02,21189859,127386365,22325903,25164000,21189859,117905252,118812169,126259696,312416341,0,744728205,1059719704,22562604,45279407.25,29398521,2018,Stanislaus,95353,Modesto,346686,279644,107472,99322,9584,746,2641,1271,1911,2144,54553,80300
Monrovia,High,HIGH,HIGH,HIGH,MODERATE,HIGH,LOW,HIGH,MODERATE,LOW,HIGH,37.05,4.46,7.33,4.5,2.63,0,5,1.67,3.06,8.4,0,0.13,1.12,0.9,0.01,3.03,1.01,0.12,0.07,0.45,0,36592,0.039,2119049,2343387,77709144,69417368,-0.06,6094181,45434762,7011652,5820692,6094181,32804852,30831192,33219484,100091789,110190000,315427984,313126189,8194751,4844654.35,31550000,2018,Los Angeles,91016,Monrovia,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Montague,Low,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,LOW,93.61,30,12.99,10,2.63,10,4.1,4.72,4.17,10,5,1.8,0.44,34.93,0.01,0.17,0.82,0.01,0.03,NA,NA,1394,NA,789879,22613,830587,1883045,0,820882,455685,826604,880561,820882,384978,393720,394671,311874,0,1407782,1715892,18924,63995.74,NA,2018,Siskiyou,96064,Montague,34368,29240,8856,11913,1424,168,397,143,186,65,6088,80300
Montclair,Moderate,MODERATE,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,51.65,15.44,7.75,10,2.5,0.32,3.5,2.22,0,9.92,0,0.43,1.07,7.2,0,1.46,0.7,0.1,0.2,0.26,0,39324,0.036,9997848,1389497,48726751,45706888,0.03,13860935,32613176,13044223,13880997,13860935,32074518,31506545,32001505,66958093,0,156226062,224701815,4769185,9057630.28,11804670,2018,San Bernardino,91763,Montclair,1331471,1102687,450725,328307,42655,3437,10315,6782,6675,6643,247148,87400
Monte Sereno,Low,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,HIGH,91.18,30,15,10,3.25,10,4.6,4.44,3.89,10,0,1.88,0.01,69.41,0.06,0.15,0.92,0.02,0.04,0.2,0,3480,NA,6445185,92851,30356,3510862,-0.05,5855210,3122713,6446372,5942841,5855210,2704728,2708961,3046909,513753,0,4670074,5078581,59622,142323.45,691126,2018,Santa Clara,95030,Monte Sereno,1205945,1019309,504474,172323,22686,3524,7822,3685,253,2742,301800,168500
Montebello,Moderate,MODERATE,HIGH,LOW,HIGH,HIGH,HIGH,MODERATE,HIGH,LOW,HIGH,47.72,8.42,8.25,10,2.25,2.24,3.5,2.5,0.56,10,0,0.22,1.01,2.17,-0.02,1.22,0.7,0.09,0.16,0.25,0,62440,0.05,16858134,7756023,112873783,111733973,0.14,11287858,50478306,9325124,7995872,11287858,42852558,40356389,41515893,135834407,0,310211004,444737712,10491982,18221999.15,28012070,2018,Los Angeles,90640,Montebello,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Monterey,Moderate,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,HIGH,LOW,HIGH,LOW,HIGH,50.05,7.02,11.25,6.95,2.88,3.2,3.4,4.17,0.28,10,0.9,0.2,0.65,1.39,0.03,1.1,0.68,0.03,0.17,0.07,0.18,28170,0.027,15992742,11521226,86037778,132189367,-0.01,15689371,78182285,16065743,16479321,15689371,72265670,71328981,75553480,144836746,0,307573142,452411685,4480650,21832413.28,9583049,2018,Monterey,93940,Monterey,244481,206917,107230,41877,5558,922,1614,908,1941,193,46674,90100
Monterey Park,Moderate,LOW,LOW,LOW,MODERATE,HIGH,MODERATE,HIGH,HIGH,LOW,HIGH,70.33,26.15,13.41,10,2.88,1.76,3.6,2.22,0.28,9.28,0.75,0.72,0.39,8.33,0.03,1.28,0.72,0.1,0.17,0.34,0.15,60198,0.042,29886235,3585921,34549211,88142798,0.05,29886581,41327844,27585956,29386312,29886581,38649600,40384168,41019677,99610760,13075000,256585810,356612756,8875167,15182547.29,30097000,2018,Los Angeles,91754,Monterey Park,6129494,5813167,3048960,996999,143054,22483,41081,35228,39687,35505,1450170,91100
Moorpark,Low,MODERATE,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,LOW,75.28,8.29,15,10,3.38,10,5,4.17,4.44,10,5,0.21,0.02,3.19,0.07,0.13,1.01,0.03,0.02,-0.01,1.19,36438,0.031,4687080,1470174,602095,31208965,0.26,4428985,21183766,2865439,3011336,4428985,17156766,16453361,19315069,3959121,0,35469227,34945609,819439,691725.97,NA,2018,Ventura,93021,Moorpark,537055,500442,212552,145457,14981,1721,4765,1757,3939,4984,110286,115400
Moraga,Low,LOW,MODERATE,LOW,HIGH,LOW,MODERATE,LOW,MODERATE,LOW,LOW,76.1,16.71,12.58,10,1.5,8.96,3.85,4.44,3.06,10,5,0.51,0.49,12.53,-0.08,0.38,0.77,0.02,0.07,NA,NA,17693,0.02,3505353,279754,7823802,16111325,-0.13,5500590,10733986,7310692,7001356,5500590,9523356,7442123,7998461,6156875,0,21025998,27161465,274211,1193142.5,NA,2018,Contra Costa,94556,Moraga,758611,703021,369254,134553,20406,2700,5529,2545,2809,2178,163047,142800
Moreno Valley,Low,MODERATE,MODERATE,LOW,MODERATE,LOW,HIGH,LOW,LOW,LOW,HIGH,73.99,14.72,12.74,10,3.25,9.2,3.35,4.17,3.61,10,2.95,0.41,0.47,2.47,0.06,0.35,0.67,0.03,0.05,0.03,0.59,208889,0.046,61538811,24928030,96434392,206021003,0.02,44277280,107247625,42906058,47736679,44277280,92462442,92539983,103125363,72410028,0,139792584,207884851,5738708,10514666.92,7099335,2018,Riverside,92553,Moreno Valley,1492076,1241552,492967,404400,44128,3578,11757,6049,5660,6322,266691,87400
Morgan Hill,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,66.23,13.2,12.08,10,3,8,3.65,3.33,2.22,10,0.75,0.38,0.55,6.92,0.04,0.5,0.73,0.06,0.1,0.05,0.15,45084,0.029,13725625,1982803,49205213,90009214,-0.04,14715819,38603769,15894753,14379374,14715819,34652593,35364556,37643866,45062944,0,123577583,169468028,5060556,8711032.36,4465182,2018,Santa Clara,95037,Morgan Hill,1205945,1019309,504474,172323,22686,3524,7822,3685,253,2742,301800,168500
Morro Bay,Moderate,MODERATE,LOW,LOW,MODERATE,MODERATE,MODERATE,LOW,HIGH,LOW,HIGH,63.35,9.83,15,10,3,5.76,3.65,4.17,1.94,10,0,0.28,0.1,3,0.04,0.78,0.73,0.03,0.11,0.08,0,10559,0.048,3842488,1281181,3220344,31663623,-0.01,4025148,14328014,4214177,3531710,4025148,12225454,12440576,13198834,24614259,685,64393092,88299245,875670,3578442.34,2511758,2018,San Luis Obispo,93442,Morro Bay,206297,183746,68853,64199,6330,932,2201,509,794,1549,38379,109200
Mountain View,Low,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,MODERATE,88.28,30,14.41,10,3.63,6.96,3.6,3.33,2.5,10,3.85,0.84,0.27,7.3,0.09,0.63,0.72,0.06,0.09,0.09,0.77,83168,0.02,137914000,18899000,100112000,367981000,0.09,126598000,150985000,107718000,117728000,126598000,132825000,141832000,155401000,230222000,0,567660102,783882511,20419000,34897280.45,33229000,2018,Santa Clara,94039-7540,Mountain View,1205945,1019309,504474,172323,22686,3524,7822,3685,253,2742,301800,168500
