city,county,zipcode,overall_risk,overall_points,county_voter_reg,county_voter_turnout,county_prop_mail_vote,county_n_precincts,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_college_2008_12,county_unemployment,county_per_cap_gdp,county_pop,county_per_cap_income,county_per_cap_1099_income,county_n_jobs,county_avg_wage,county_med_age,county_prop_m,county_per_cap_precints,good_pension_health,is_county_job_center
Avenal,Kings,93204,Low,76.88,0.6342746931320331,0.4569,0.6423000000000001,210,1,0.62,11.73,-0.02,0.27,0.78,0.05,0.07,1.16,0,5445081,464211,6567975,10512039,-0.13,5214059,5199608,6769890,5765272,5214059,4573740,3927414,4305130,2880505,0,9884141,12697944,559335,733727.56,12147150,0.124,0.106,34.93159767672847,152027,25392,3690,58713,40187,31.1,0.564406270018695,0.0013813335789037474,FALSE,FALSE
Azusa,Los Angeles,91702,Moderate,54.74,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.18,0.72,1.78,0.01,0.66,0.74,0.06,0.09,0.35,0,9843848,5537360,83783401,116888698,0.29,8175057,44849887,5833733,10424782,8175057,39238567,40759058,39447907,76657050,0,214273198,290065873,6894986,10999413.53,41175085,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Bakersfield,Kern,93307,Moderate,56.58,0.6575433079519254,0.4984,0.41200000000000003,588,0.2,0.57,3.8,0.03,0.94,0.69,0.06,0.13,0.17,0.44,28189169,7421020,266414581,467155043,-0.03,39497463,198388548,41821284,39243163,39497463,188608894,186789368,198092848,437509411,0,934622175,1363499688,29455559,59864348.18,78408342,0.149,0.099,52.20654335003,818327,29257,3963,364533,41733,30.7,0.5158313592518619,7.185391658835648e-4,FALSE,FALSE
Baldwin Park,Los Angeles,91706,Moderate,64.81,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.49,0.41,9.97,0.1,0.99,0.72,0.05,0.06,0.8,0,14385032,1443341,22295254,53782556,0.02,15501574,31359998,15223945,13750999,15501574,26302068,27306799,31428916,53482903,0,142926675,197180988,2751737,3142057.57,42871182,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Banning,Riverside,92220,Low,78.69,0.6519685051631071,0.5115,0.4153,1403,0.72,0.94,4.11,-0.04,0.57,0.69,0.05,0.08,NA,NA,13134555,3198678,66056374,69961732,0.01,12178195,16967514,12199544,13255127,12178195,16148892,15583618,15164729,40084731,0,88025772,128115704,3462445,5486731.86,NA,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,FALSE,FALSE
Barstow,San Bernardino,92311,Moderate,60.29,0.6748090460761734,0.5012,0.37189999999999995,1391,0.43,0.48,2.46,0.02,0.93,0.78,0.11,0.12,0.46,0.08,3333483,1357428,17994480,37180163,-0.13,9163739,21473967,12063100,9222550,9163739,17876601,18169988,18327134,34653410,0,123274866.90972,157438773.90972,4238158,4464614.63,16984146,0.18600000000000003,0.081,34.97512395601215,2003735,29988,4061,885185,41008,31.7,0.4970037489988748,6.942035748240162e-4,FALSE,FALSE
Beaumont,Riverside,92223,Low,72.09,0.6519685051631071,0.5115,0.4153,1403,0.33,1.04,2.92,0.11,0.18,0.77,0.02,0.04,NA,NA,8267378,2830854,98969406,95483467,1.61,10315492,31076898,-4296822,5034141,10315492,26116266,28055975,31849709,17018262,0,55049849,71833182,2359341,3522488.86,NA,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,FALSE,FALSE
Bell,Los Angeles,90201,Moderate,60.99,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.91,1.75,12.61,0.03,1.33,0.69,0.08,0.17,0.48,0,14686689,1165005,49883308,28473182,-0.11,15340907,16834001,19710129,20467803,15340907,13580013,13856722,14298238,36064660,1890000,80602431,116737079,2236883,4887147.47,13534634,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Bell Gardens,Los Angeles,90201,Moderate,56.31,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.49,0.3,8.02,0.05,0.96,0.73,0.1,0.15,1.45,0,15235144,1898747,12052879,40749321,0.03,15807322,32067927,15074042,17207770,15807322,28226216,33762890,29890601,39199075,0,102835602,141745336,4145318,6137021.27,58996347,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Bellflower,Los Angeles,90706,Low,74.09,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.4,0.46,5.5,0.03,0.24,0.78,0.02,0.04,0.1,0.45,10429160,1895675,25731393,55702505,-0.04,12197416,30763009,13344192,11885694,12197416,28391642,28361196,30012089,13297248,0,45449045,58547317,1097439,2181919.09,5696575,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Belmont,San Mateo,94002,Low,74.72,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,0.52,0.6,11.82,0.1,0.58,0.72,0.06,0.09,0.16,0.4,11250415,951886,39015748,64633631,0.23,12563014,24082248,8386603,10751372,12563014,21673539,22379562,25907745,37312079,0,92888424,129282538,3926990,5502984.57,10177897,0.439,0.049,83.74426637114075,703830,74932,21933,468661,72876,39.3,0.49156866647829844,7.885426878649674e-4,FALSE,TRUE
Belvedere,Marin,94920,Low,77.49,0.8589735806570894,0.7798999999999999,0.5870000000000001,189,0.5,0.31,6.13,0.09,0.5,0.97,0.03,0.05,0.13,0,3850031,628162,2869755,9348886,0.14,3550424,7067914,2793225,3520626,3550424,6089738,6591192,7262596,4645998,0,21736120,22496484,255516,447883.95,1229000,0.546,0.047,67.9644361065709,248398,90003,30928,181971,56427,44.5,0.4915514106073872,7.608756914306878e-4,TRUE,TRUE
Benicia,Solano,94510,Moderate,70.79,0.6956945732923293,0.594,0.5109,214,0.61,0.64,20.32,0.11,1.04,0.73,0.07,0.14,0.05,0,21657220,1065957,44449087,69827453,0.28,23261888,37898837,14313844,17244481,23261888,36376990,35009975,43930155,64734021,7701537,177063614,240933172,4756153,9869891.45,3711026,0.242,0.069,45.98817522960007,408972,38030,6022,178995,46543,36.9,0.4988459975226446,5.232632062830708e-4,FALSE,FALSE
Berkeley,Alameda,94704,Moderate,60.34,0.8130188885559002,0.6364,0.4833,1041,0.47,0.63,2.37,0.06,1.44,0.67,0.1,0.18,0.23,0.29,108057563,45649193,257379297,406374715,0.16,79987497,170905473,61429202,59328132,79987497,165400130,170392751,185351536,586777525,0,1197117715,1781477682,40471505,73661467.5,92840362,0.41100000000000003,0.062,62.71487156852657,1477208,48524,8583,903624,60165,36.6,0.4903576907720535,7.047078001202269e-4,FALSE,TRUE
