city,county,zipcode,overall_risk,overall_points,county_voter_reg,county_voter_turnout,county_prop_mail_vote,county_n_precincts,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_college_2008_12,county_unemployment,county_per_cap_gdp,county_pop,county_per_cap_income,county_per_cap_1099_income,county_n_jobs,county_avg_wage,county_med_age,county_prop_m,county_per_cap_precints,good_pension_health,is_county_job_center
Los Altos Hills,Santa Clara,94022,Low,93.99,0.7060058122206997,0.6068,0.5729,1142,0.98,0.01,3.94,0.13,0.22,0.87,0.11,0.03,0.02,0.88,15215255,3865437,112575,15328395,0.11,11729294,11983975,9721176,12457874,11729294,8813003,9353072,11255395,3400941,0,12836645,14727048,1640692,439292.32,302473,0.46,0.06,91.79353048081408,1740964,61220,12764,1164619,81944,36.2,0.5017006783629933,6.559584230345947e-4,TRUE,TRUE
Los Angeles,Los Angeles,90012,Moderate,49.22,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.16,2.02,1.74,0.04,0.53,0.84,0.08,NA,0.18,0.68,1058705000,606897000,32380740000,15996382000,-0.05,887392000,5484106000,984155000,840748000,887392000,4893037000,5007604000,5249932000,8438197000,0,43491137000,51929334000,1335339000,NA,2813913000,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,TRUE,TRUE
Los Banos,Merced,93635,Low,87.28,0.6923899026027232,0.46090000000000003,0.4029,118,0.86,0.14,8.03,0.07,0.43,0.74,0.06,0.08,0.34,0.25,13166280,1639305,7237251,52618647,0.05,13120621,15240556,11974399,12283423,13120621,14210112,14885169,16063614,22419524,0,60907880,82703949,2960775,3978189.05,17883924,0.125,0.127,29.541949724193536,250538,26936,3459,90756,35639,29.6,0.5032858600509005,4.709864371871732e-4,FALSE,FALSE
Los Gatos,Santa Clara,95031,Low,78.2,0.7060058122206997,0.6068,0.5729,1142,0.76,0.09,3.6,0.02,1.22,0.72,0.11,0.18,0.26,0.55,37907933,10532270,4049304,43775789,0.02,30428684,40257940,29574272,29180624,30428684,39516979,38746123,40529416,53204508,0,139711753,193339744,4620844,7994226.99,11165000,0.46,0.06,91.79353048081408,1740964,61220,12764,1164619,81944,36.2,0.5017006783629933,6.559584230345947e-4,FALSE,TRUE
Loyalton,Sierra,96118,Low,79.85,0.9228628230616303,0.8,1,22,1.62,3.39,0.97,0.46,NA,NA,NA,NA,NA,NA,357393,367897,5048160,1487261,0.56,418309,257443,175087,236946,418309,224014,301045,472116,NA,NA,NA,NA,NA,NA,NA,0.16699999999999998,0.106,28.908132530120483,3320,28239,5979,1234,32690,50.9,0.5080246913580246,0.006626506024096385,NA,FALSE
Lynwood,Los Angeles,90262,Moderate,51.23,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.15,0.94,0.62,0.13,0.56,0.73,0.01,0.06,0.34,0.15,4651568,7525529,61420453,65421968,0.47,4872143,33347239,2453365,2562442,4872143,25720836,26907699,32562763,36832099,0,85731178,117995702,481149,3697658.91,22447807,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Madera,Madera,93637,Moderate,70.98,0.6526121161585035,0.52,0.54,109,0.54,0.74,7.78,0.14,0.66,0.7,0.06,0.1,0.05,0,14617087,1878367,50570759,68568439,0.12,17446826,32291971,14078991,15168000,17446826,22806629,24908547,29482146,45385894,0,105659515,151568164,4336786,6698526.27,3169504,0.139,0.095,31.933175607816175,148359,26549,3880,59936,36146,33,0.48176846849832633,7.347043320593965e-4,FALSE,FALSE
Malibu,Los Angeles,90265,Low,89.32,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,1.41,0.9,15.75,0.06,0.1,0.8,0.01,0.02,0.03,0.75,35578012,2259261,50198711,56018914,0.2,40118222,28411022,28249729,33786722,40118222,30569753,30593272,33819089,5545643,0,21324237,26762799,753756,1354251.59,1467000,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,TRUE,TRUE
Mammoth Lakes,Mono,93546,Moderate,59.97,0.7002812792999271,0.5856,0.3373,13,0.2,0.78,1.84,0.09,0.51,0.7,0.04,0.06,0.09,0.09,7522777,4090381,33092323,42159777,0.84,5724510,28427911,2127598,5687184,5724510,23912413,28225760,27953084,21463818,0,49325236,70370003,1889553,2670208.67,3699902,0.29100000000000004,0.059000000000000004,65.76619535420575,13862,39240,9491,10159,35623,37.2,0.5314744402196874,9.378156110229404e-4,FALSE,TRUE
Manhattan Beach,Los Angeles,90266,Moderate,68.67,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.34,0.43,3.87,0.04,0.71,0.76,0.06,0.13,-0.04,1.65,24741761,6400407,45152504,105530921,0.1,23860400,70008530,19883693,23367583,23860400,66768157,69352157,71608819,74711389,0,234810786,309740189,6654361,13196690.99,NA,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Manteca,San Joaquin,95337,Low,81.59,0.6505512612372483,0.5142,0.47950000000000004,515,0.78,0.49,11.02,0.08,0.68,0.68,0.06,0.1,0.21,0,30142534,2734230,80843098,166213869,0.1,30107459,38711232,25223096,27480751,30107459,35568183,38403438,41272030,112754563,0,230415503,339681477,10522989,16327756.58,34115000,0.179,0.105,35.11675291651531,671692,32080,4692,287022,40880,32.7,0.4979235553168949,7.667204611637476e-4,FALSE,FALSE
Maricopa,Kern,93252,Low,98.25,0.6575433079519254,0.4984,0.41200000000000003,588,1.31,0,30.38,0.06,NA,NA,NA,NA,NA,NA,294271,9685,0,924295,0.02,383486,293168,370238,383505,383486,259848,276063,293149,NA,NA,NA,NA,NA,NA,NA,0.149,0.099,52.20654335003,818327,29257,3963,364533,41733,30.7,0.5158313592518619,7.185391658835648e-4,NA,FALSE
Marina,Monterey,93933,Moderate,66.23,0.6775766701887825,0.562,0.588,184,0.57,1.34,3.52,-0.26,0.46,0.76,0.06,0.08,0.1,0,12703836,3608354,55434374,41457351,0.3,11524099,20056615,6911396,8345964,11524099,56836455,20998269,23534750,18897109,145000,60532547,79494697,2524388,3343168.74,4093174,0.23199999999999998,0.085,50.36278083453606,406022,40587,9460,223750,42425,32.9,0.5142209383289524,4.53177414031752e-4,FALSE,FALSE
Martinez,Contra Costa,94553,Moderate,66.37,0.7539949308861223,0.6535,0.4758,854,0.51,0.79,6.35,-0.02,0.85,0.72,0.08,0.11,0.2,0.52,12682009,1997415,38255838,48488790,-0.02,12358561,24067223,12891020,13683283,12358561,22896354,22210623,22232253,40989108,0,102476444,142887180,3695280,5472454.64,9596970,0.386,0.062,90.00304785096702,1023344,58611,12481,496937,58042,38.5,0.487620409427802,8.345189887271533e-4,FALSE,FALSE
Marysville,Yuba,95901,Moderate,46.93,0.6554745811224377,0.47740000000000005,0.47979999999999995,46,0.26,2.21,2.51,0.22,1,0.7,0.08,0.13,0,0,3021330,1204880,32046512,14503962,2.32,2441490,9389502,269731,1273110,2441490,6754156,8371179,9927864,14454965,0,33228710,47691592,1122472,1830479.5,36489,0.136,0.12,34.93014086076937,71773,30642,4017,27011,43891,32.1,0.5038043101656157,6.409095342259625e-4,FALSE,FALSE
Maywood,Los Angeles,90270,Moderate,42.79,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.14,1.09,1.27,0.23,1.23,0.61,0.08,0.13,0.2,0,4993993,3941041,15352647,14131282,-0.17,1565885,10843678,2537274,1438560,1565885,7436614,8042099,10989452,17433755,0,27514780,44901008,1093578,1851992.6,2875410,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
McFarland,Kern,93250,Moderate,49.81,0.6575433079519254,0.4984,0.41200000000000003,588,0.27,NA,0,NA,NA,NA,NA,NA,NA,NA,0,490143,NA,NA,0.05,2234266,8156673,2144061,2754139,2234266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149,0.099,52.20654335003,818327,29257,3963,364533,41733,30.7,0.5158313592518619,7.185391658835648e-4,NA,FALSE
Mendota,Fresno,93640,Low,83.98,0.714652135684724,0.5144,0.4532,712,0.51,0.6,5.85,0.02,0,1.03,0.01,0.01,NA,NA,808757,138307,5921737,9895846,0.91,1017426,2004495,856513,292370,1017426,2286987,2156903,2340269,0,0,146054,141788,74542,121497.88,NA,0.19399999999999998,0.106,37.123290788562386,909630,30549,4517,441468,37825,30.6,0.49955505400612604,7.827358376482745e-4,TRUE,FALSE
Menifee,Riverside,92586,Low,86.82,0.6519685051631071,0.5115,0.4153,1403,0.57,0.18,2.44,0.34,0.01,0.92,0,0.01,0,0,31335449,12843437,18975498,107459408,0.77,24827362,43628952,8041821,12552969,24827362,32148468,35830906,55729807,551431,0,5680560,6180399,524088,591284.67,181271,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,TRUE,FALSE
Menlo Park,San Mateo,94025,Low,82.62,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,0.62,0.29,5.43,0.1,0.59,0.76,0.06,0.1,-0.02,1.1,37150640,6839728,28663052,97986553,0.09,35711323,57581150,30342943,31822736,35711323,51089111,52989466,60990425,57357994,0,175978902,231587825,5554618,9731908.25,NA,0.439,0.049,83.74426637114075,703830,74932,21933,468661,72876,39.3,0.49156866647829844,7.885426878649674e-4,FALSE,TRUE
Merced,Merced,95340,Moderate,65.2,0.6923899026027232,0.46090000000000003,0.4029,118,0.39,0.5,8.15,0.06,0.75,0.73,0.06,0.11,0.28,0.06,18228705,2236324,58769455,117651200,0.09,15616507,40203425,13208816,15192640,15616507,35805318,37906962,39986340,83699839,4350000,227456379,311636377,7122814,13280847.12,32387000,0.125,0.127,29.541949724193536,250538,26936,3459,90756,35639,29.6,0.5032858600509005,4.709864371871732e-4,FALSE,FALSE
Mill Valley,Marin,94941,Moderate,60.3,0.8589735806570894,0.7798999999999999,0.5870000000000001,189,0.25,0.31,4.54,0.08,0.82,0.75,0.07,0.12,0.46,0.3,10185397,2241066,15528015,50224669,0.02,8517509,34108165,8228756,7750455,8517509,29977718,32111083,34739931,38221086,3170000,112462480,150653761,3278220,6138641.99,23111051,0.546,0.047,67.9644361065709,248398,90003,30928,181971,56427,44.5,0.4915514106073872,7.608756914306878e-4,FALSE,TRUE
Millbrae,San Mateo,94030,Moderate,64.56,0.8128099776836925,0.6409999999999999,0.48090000000000005,555,0.57,1.14,8.64,0.04,1.09,0.71,0.06,0.11,0.12,0.5,19354262,2239994,65171867,57240072,-0.04,19258511,33641468,20933888,23072970,19258511,28214447,29309882,30075698,48739905,13725187,116541154,165289968,3312932,6206296.6,7018509,0.439,0.049,83.74426637114075,703830,74932,21933,468661,72876,39.3,0.49156866647829844,7.885426878649674e-4,FALSE,TRUE
Milpitas,Santa Clara,95035,Low,82.45,0.7060058122206997,0.6068,0.5729,1142,0.98,0.1,6.19,0.08,0.99,0.67,0.08,0.13,0.23,0.47,92184730,14891687,19455894,189194742,0.64,82767859,84611704,30901414,52532102,82767859,85722396,91988094,99123231,186770421,0,388059299,575155380,15491069,25408802.72,44413773,0.46,0.06,91.79353048081408,1740964,61220,12764,1164619,81944,36.2,0.5017006783629933,6.559584230345947e-4,FALSE,TRUE
Mission Viejo,Orange,92691,Low,77.51,0.8640684252298959,0.6275,0.4654,2109,0.47,0.53,4.62,0.01,0.29,0.77,0.03,0.05,-0.01,1.1,31420073,6803293,39021863,74240476,-0.04,29485180,62183752,31752597,31019396,29485180,57233284,59120350,58672375,21733300,0,68649273,88649132,2237110,3781967.01,NA,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
Modesto,Stanislaus,95353,Moderate,44.99,0.7125961812482189,0.5047,0.5289,447,0.17,1.38,1.52,0.04,0.87,0.7,0.06,0.13,0.08,0,15620367,10254295,493619192,357631225,-0.02,21189859,127386365,22325903,25164000,21189859,117905252,118812169,126259696,312416341,0,744728205,1059719704,22562604,45279407.25,29398521,0.163,0.111,35.30845604991435,509032,31117,4392,223665,39473,32.9,0.4946788141968265,8.781373273193041e-4,FALSE,FALSE
Monrovia,Los Angeles,91016,High,37.05,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.13,1.12,0.9,0.01,3.03,1.01,0.12,0.07,0.45,0,2119049,2343387,77709144,69417368,-0.06,6094181,45434762,7011652,5820692,6094181,32804852,30831192,33219484,100091789,110190000,315427984,313126189,8194751,4844654.35,31550000,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,TRUE,TRUE
Montague,Siskiyou,96064,Low,93.61,0.7847023827055046,0.6397999999999999,0.6133,72,1.8,0.44,34.93,0.01,0.17,0.82,0.01,0.03,NA,NA,789879,22613,830587,1883045,0,820882,455685,826604,880561,820882,384978,393720,394671,311874,0,1407782,1715892,18924,63995.74,NA,0.231,0.102,32.44723090665476,44780,31784,6697,22084,32841,47,0.4987750556792873,0.00160786065207682,TRUE,FALSE
Montclair,San Bernardino,91763,Moderate,51.65,0.6748090460761734,0.5012,0.37189999999999995,1391,0.43,1.07,7.2,0,1.46,0.7,0.1,0.2,0.26,0,9997848,1389497,48726751,45706888,0.03,13860935,32613176,13044223,13880997,13860935,32074518,31506545,32001505,66958093,0,156226062,224701815,4769185,9057630.28,11804670,0.18600000000000003,0.081,34.97512395601215,2003735,29988,4061,885185,41008,31.7,0.4970037489988748,6.942035748240162e-4,FALSE,FALSE
Monte Sereno,Santa Clara,95030,Low,91.18,0.7060058122206997,0.6068,0.5729,1142,1.88,0.01,69.41,0.06,0.15,0.92,0.02,0.04,0.2,0,6445185,92851,30356,3510862,-0.05,5855210,3122713,6446372,5942841,5855210,2704728,2708961,3046909,513753,0,4670074,5078581,59622,142323.45,691126,0.46,0.06,91.79353048081408,1740964,61220,12764,1164619,81944,36.2,0.5017006783629933,6.559584230345947e-4,TRUE,TRUE
Montebello,Los Angeles,90640,Moderate,47.72,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.22,1.01,2.17,-0.02,1.22,0.7,0.09,0.16,0.25,0,16858134,7756023,112873783,111733973,0.14,11287858,50478306,9325124,7995872,11287858,42852558,40356389,41515893,135834407,0,310211004,444737712,10491982,18221999.15,28012070,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Monterey,Monterey,93940,Moderate,50.05,0.6775766701887825,0.562,0.588,184,0.2,0.65,1.39,0.03,1.1,0.68,0.03,0.17,0.07,0.18,15992742,11521226,86037778,132189367,-0.01,15689371,78182285,16065743,16479321,15689371,72265670,71328981,75553480,144836746,0,307573142,452411685,4480650,21832413.28,9583049,0.23199999999999998,0.085,50.36278083453606,406022,40587,9460,223750,42425,32.9,0.5142209383289524,4.53177414031752e-4,FALSE,FALSE
Monterey Park,Los Angeles,91754,Moderate,70.33,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.72,0.39,8.33,0.03,1.28,0.72,0.1,0.17,0.34,0.15,29886235,3585921,34549211,88142798,0.05,29886581,41327844,27585956,29386312,29886581,38649600,40384168,41019677,99610760,13075000,256585810,356612756,8875167,15182547.29,30097000,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Moorpark,Ventura,93021,Low,75.28,0.8138416978089583,0.6566,0.43520000000000003,602,0.21,0.02,3.19,0.07,0.13,1.01,0.03,0.02,-0.01,1.19,4687080,1470174,602095,31208965,0.26,4428985,21183766,2865439,3011336,4428985,17156766,16453361,19315069,3959121,0,35469227,34945609,819439,691725.97,NA,0.312,0.063,62.91647578665919,806353,45937,8871,441320,48206,36.2,0.4967327326743737,7.465712907374313e-4,TRUE,FALSE
Moraga,Contra Costa,94556,Low,76.1,0.7539949308861223,0.6535,0.4758,854,0.51,0.49,12.53,-0.08,0.38,0.77,0.02,0.07,NA,NA,3505353,279754,7823802,16111325,-0.13,5500590,10733986,7310692,7001356,5500590,9523356,7442123,7998461,6156875,0,21025998,27161465,274211,1193142.5,NA,0.386,0.062,90.00304785096702,1023344,58611,12481,496937,58042,38.5,0.487620409427802,8.345189887271533e-4,FALSE,FALSE
Moreno Valley,Riverside,92553,Low,73.99,0.6519685051631071,0.5115,0.4153,1403,0.41,0.47,2.47,0.06,0.35,0.67,0.03,0.05,0.03,0.59,61538811,24928030,96434392,206021003,0.02,44277280,107247625,42906058,47736679,44277280,92462442,92539983,103125363,72410028,0,139792584,207884851,5738708,10514666.92,7099335,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,FALSE,FALSE
Morgan Hill,Santa Clara,95037,Moderate,66.23,0.7060058122206997,0.6068,0.5729,1142,0.38,0.55,6.92,0.04,0.5,0.73,0.06,0.1,0.05,0.15,13725625,1982803,49205213,90009214,-0.04,14715819,38603769,15894753,14379374,14715819,34652593,35364556,37643866,45062944,0,123577583,169468028,5060556,8711032.36,4465182,0.46,0.06,91.79353048081408,1740964,61220,12764,1164619,81944,36.2,0.5017006783629933,6.559584230345947e-4,FALSE,TRUE
Morro Bay,San Luis Obispo,93442,Moderate,63.35,0.8320743034055728,0.6917,0.5104,152,0.28,0.1,3,0.04,0.78,0.73,0.03,0.11,0.08,0,3842488,1281181,3220344,31663623,-0.01,4025148,14328014,4214177,3531710,4025148,12225454,12440576,13198834,24614259,685,64393092,88299245,875670,3578442.34,2511758,0.315,0.057999999999999996,47.20735251053094,266358,39692,9659,154624,39377,39.4,0.5117954880079514,5.706605395745575e-4,FALSE,FALSE
Mountain View,Santa Clara,94039,Low,88.28,0.7060058122206997,0.6068,0.5729,1142,0.84,0.27,7.3,0.09,0.63,0.72,0.06,0.09,0.09,0.77,137914000,18899000,100112000,367981000,0.09,126598000,150985000,107718000,117728000,126598000,132825000,141832000,155401000,230222000,0,567660102,783882511,20419000,34897280.45,33229000,0.46,0.06,91.79353048081408,1740964,61220,12764,1164619,81944,36.2,0.5017006783629933,6.559584230345947e-4,FALSE,TRUE
Mt. Shasta,Siskiyou,96067,Low,75.29,0.7847023827055046,0.6397999999999999,0.6133,72,0.37,0.15,3.17,-0.03,0.47,0.76,0.04,0.08,NA,NA,1102110,347249,1209836,7826410,0.18,1253502,3346566,935063,897507,1253502,3483440,3520797,3304704,3660325,0,11650145,15266738,326891,633886.31,NA,0.231,0.102,32.44723090665476,44780,31784,6697,22084,32841,47,0.4987750556792873,0.00160786065207682,FALSE,FALSE
Murrieta,Riverside,92562,Low,79.18,0.6519685051631071,0.5115,0.4153,1403,0.64,0.31,5.41,0.05,0.48,0.77,0.07,0.08,0.29,0.14,30977788,5720965,28622314,92025774,0.09,26488358,41634368,22974820,21141103,26488358,41796091,40811157,45796411,44519908,0,109806451,142160711,6519078,7053708.23,26339158,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,FALSE,FALSE
Napa,Napa,94559,Moderate,62.48,0.7790353151347466,0.6576000000000001,0.275,147,0.26,0.33,3.25,0.05,0.79,0.66,0.08,0.11,0.03,0.44,22737997,7003964,70044892,212457875,0.06,24882191,97031389,22424769,25188778,24882191,83372542,84016177,91591307,167593585,0,325522542,496107167,17267751,24050664.99,6800959,0.312,0.051,60.91912329502659,134093,47613,12170,91679,46528,39.7,0.49939187010931685,0.001096254092309069,FALSE,TRUE
National City,San Diego,91950,Moderate,71.04,0.7251714669285065,0.6071,0.46,2328,0.69,0.31,5.27,0.02,1.1,0.69,0.1,0.16,0.06,0,38524469,7315657,28365397,91346978,0.02,39589001,57554266,38544177,37814021,39589001,52873165,51623027,54814126,100576938,0,228914556,331805265,8792284,14833342.48,5268116,0.344,0.061,59.13658277842412,3022116,44860,9670,1882625,50388,34.6,0.5019456836836856,7.703211921713131e-4,FALSE,TRUE
Needles,San Bernardino,92363,Low,78.71,0.6748090460761734,0.5012,0.37189999999999995,1391,0.63,0.73,1.38,0.1,0.18,0.8,0.02,0.03,0.05,0,1182001,856044,16379100,22511830,0.21,3103217,4891385,2141234,2454616,3103217,3210149,3763858,3824472,4077526,0,16100925,20012816,391481,743531.89,1230602,0.18600000000000003,0.081,34.97512395601215,2003735,29988,4061,885185,41008,31.7,0.4970037489988748,6.942035748240162e-4,TRUE,FALSE
Nevada City,Nevada,95959,Moderate,63.9,0.8550759617576464,0.7533,0.6951,99,0.14,0.46,4.2,0.06,0.51,0.74,0.03,0.09,NA,NA,1502100,357711,4271072,9339959,-0.15,591147,4319201,815569,630837,591147,3643616,3910024,4047100,4744191,0,13635137,18387990,266657,795410.85,NA,0.327,0.066,36.34338085539715,98200,44033,10723,52482,39159,47.6,0.49446154469239806,0.0010081466395112017,FALSE,FALSE
Newark,Alameda,94560,Low,76.46,0.8130188885559002,0.6364,0.4833,1041,0.83,0.17,13.32,0.1,1.37,0.66,0.1,0.18,0.07,0.23,41383079,3106252,13013924,74394329,0.22,43606972,52658577,29439063,33751098,43606972,51733287,55337168,62207123,101929323,0,199611077,302239197,7704010,13396541.55,5567837,0.41100000000000003,0.062,62.71487156852657,1477208,48524,8583,903624,60165,36.6,0.4903576907720535,7.047078001202269e-4,FALSE,TRUE
Newman,Stanislaus,95360,Low,80.95,0.7125961812482189,0.5047,0.5289,447,0.56,0.04,4.54,0.03,0.47,0.72,0.07,0.07,NA,NA,3038570,670014,519459,11756733,0.02,2718927,4877373,2638064,2683501,2718927,4198013,4408689,4463456,5473849,0,13606045,18946306,822534,869054.9,NA,0.163,0.111,35.30845604991435,509032,31117,4392,223665,39473,32.9,0.4946788141968265,8.781373273193041e-4,FALSE,FALSE
Newport Beach,Orange,92660,Moderate,58.61,0.8640684252298959,0.6275,0.4654,2109,0.35,0.54,5.75,0.05,1.18,0.68,0.12,0.16,0.09,0.43,75491561,13127292,148392844,276863007,0.09,75449904,212542370,63545372,71147014,75449904,199129107,204374344,216516466,325643111,0,673317415,983800222,33448689,44982826.64,25519576,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
Norco,Riverside,92860,Low,78.09,0.6519685051631071,0.5115,0.4153,1403,0.64,0.91,5.15,0.04,0.44,0.7,0.03,0.05,0.22,0.45,13926620,2702718,40700174,44783775,0.1,12390363,19413790,10312820,11779031,12390363,18032263,18368765,19534565,19490441,0,45711114,64873602,1466344,2226242.72,9861471,0.205,0.086,30.312794352973295,2109712,31693,5525,862701,39323,33.7,0.4976048585133362,6.650196804113547e-4,FALSE,FALSE
Norwalk,Los Angeles,90650,Moderate,65.97,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.33,0.29,3.28,0.02,0.55,0.72,0.04,0.08,0.37,0.12,14110585,4297148,27634249,94788671,-0.04,15429547,46640019,16647202,15846406,15429547,44773986,44372786,46533016,52534941,0,130160489,181687839,4252350,7500995.74,35354847,0.295,0.075,58.53160101229083,9735147,42948,8593,5624844,53099,34.8,0.492906477040272,5.015846191125825e-4,FALSE,TRUE
Novato,Marin,94945,Moderate,66.69,0.8589735806570894,0.7798999999999999,0.5870000000000001,189,0.55,0.35,7.11,0.03,1.23,0.76,0.07,0.14,0.07,0.21,22831461,3211270,18835321,53629806,-0.05,23089966,41754562,25906216,22456910,23089966,38029003,36945383,40063989,47489946,18599366,154382808,201890006,3852561,7493693.17,3681000,0.546,0.047,67.9644361065709,248398,90003,30928,181971,56427,44.5,0.4915514106073872,7.608756914306878e-4,FALSE,TRUE
Oakdale,Stanislaus,95361,Moderate,66.2,0.7125961812482189,0.5047,0.5289,447,0.33,0.48,1.66,0.02,0.78,0.73,0.05,0.1,NA,NA,2545772,1531845,16152114,33380551,0.09,4398417,13493142,3840354,4889007,4398417,11753360,12134925,12218253,23428400,2519100,62363615,85817946,1657298,3226699.31,NA,0.163,0.111,35.30845604991435,509032,31117,4392,223665,39473,32.9,0.4946788141968265,8.781373273193041e-4,FALSE,FALSE
Oakland,Alameda,94612,Moderate,43.66,0.8130188885559002,0.6364,0.4833,1041,0.2,0.61,2.97,0.05,1.7,0.66,0.14,0.17,0.68,0.01,457695000,153902000,752337000,1241476000,0.15,150083000,739184000,123332000,104322000,150083000,694886000,704726000,765882000,1703925000,407951000,3606668295,5494606193,168272000,213937731.55,849471000,0.41100000000000003,0.062,62.71487156852657,1477208,48524,8583,903624,60165,36.6,0.4903576907720535,7.047078001202269e-4,FALSE,TRUE
Oakley,Contra Costa,94561,Low,95.07,0.7539949308861223,0.6535,0.4758,854,0.85,0.27,8.13,0.08,0.05,0.82,0.03,0.04,NA,NA,11277726,1386498,10419636,38687686,0.08,11428720,13425474,10010917,9394999,11428720,12772318,13856790,15006026,2059612,0,8881697,10860577,986847,1381081.21,0,0.386,0.062,90.00304785096702,1023344,58611,12481,496937,58042,38.5,0.487620409427802,8.345189887271533e-4,TRUE,FALSE
Oceanside,San Diego,92054,Moderate,66.37,0.7251714669285065,0.6071,0.46,2328,0.37,0.26,9.2,0.04,0.72,0.76,0.06,0.1,0.02,0,64736213,7037872,98495709,377708769,0.03,56545263,151427200,55174298,64354478,56545263,130355329,135518722,140010179,244166806,26660000,718416784,946617649,24381485,38087865.12,5730327,0.344,0.061,59.13658277842412,3022116,44860,9670,1882625,50388,34.6,0.5019456836836856,7.703211921713131e-4,FALSE,TRUE
Ojai,Ventura,93023,Moderate,70.73,0.8138416978089583,0.6566,0.43520000000000003,602,0.38,0.03,2.55,0.05,0.46,0.73,0.05,0.06,0.32,0.09,3812125,1493368,395568,11845922,0.04,3640798,9673936,3383517,3613618,3640798,8673551,9518993,9426144,5394741,0,13732265,18882932,586485,696680.58,3801352,0.312,0.063,62.91647578665919,806353,45937,8871,441320,48206,36.2,0.4967327326743737,7.465712907374313e-4,FALSE,FALSE
Ontario,San Bernardino,91764,Moderate,59.64,0.6748090460761734,0.5012,0.37189999999999995,1391,0.26,0.36,2.66,0.06,0.56,0.73,0.05,0.1,0.56,0,55542650,20884494,172464400,481765926,-0.19,68476315,259373645,103593755,80958888,68476315,200480478,194759294,224013641,268431026,0,739925428,1012499811,26208003,47960377.46,268308897,0.18600000000000003,0.081,34.97512395601215,2003735,29988,4061,885185,41008,31.7,0.4970037489988748,6.942035748240162e-4,FALSE,FALSE
Orange,Orange,92866,Moderate,53.94,0.8640684252298959,0.6275,0.4654,2109,0.31,0.15,6.62,0.02,1.56,0.7,0.12,0.21,0.18,0,29842077,4509805,26207066,169275489,0,34763378,112147880,34732497,35810692,34763378,108218191,112747293,111107475,263996533,0,627549436,891358024,20768531,36193842.1,31274406,0.366,0.053,65.05009546614426,2957593,49785,10940,1998599,52932,36.2,0.4945731757552242,7.130798591963127e-4,FALSE,TRUE
