city,county,zipcode,overall_risk,overall_points,county_voter_reg,county_voter_turnout,county_prop_mail_vote,county_n_precincts,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_unemployment_5yr,county_unemployment,county_per_cap_gdp,county_pop,county_per_cap_income,county_n_jobs,county_avg_wage,county_med_age,county_prop_m,county_college,county_per_cap_precints,good_pension_health,is_county_job_center
Los Angeles,Los Angeles,90012,Moderate,53.82,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.18,1.96,2.09,0.06,0.43,0.86,0.08,NA,0.15,0.7,1291607000,617970000,35614636000,18188049000,0.12,1050693000,5818011000,840748000,887392000,1050693000,5007604000,5249932000,5637072000,7874521000,0,46994448000,54868969000,1392344000,NA,2790622000,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,TRUE,TRUE
Los Banos,Merced,93635,Low,89,0.6923899026027232,0.46090000000000003,0.4029,118,1.04,0.11,8.44,0.1,0.37,0.74,0.05,0.07,0.32,0.28,15176614,1798209,6668460,59043463,0.14,15829976,15274075,12283423,13120621,15829976,14885169,16063614,17898298,21796766,0,67338826,90405342,2874876,4328182.24,18938145,0.11880000000000002,0.17300000000000001,28.195091596578703,252302,27008,88875,36057,29.6,0.5032838668313813,0.125,4.6769347845042846e-4,FALSE,FALSE
Los Gatos,Santa Clara,95031,Low,80.22,0.7060058122206997,0.6068,0.5729,1142,0.81,0.08,4.07,0.07,1.1,0.72,0.11,0.18,0.21,0.62,45193485,11094320,3946167,48586229,0.06,32955211,40779169,29180624,30428684,32955211,38746123,40529416,43622934,53627829,0,144984843,202215123,5333436,8629246.79,10055468,0.0628,0.11,88.90492919246495,1765137,56799,1109828,81613,36.2,0.5016978300329015,0.46,6.469752772730955e-4,FALSE,TRUE
Loyalton,Sierra,96118,Moderate,57.35,0.9228628230616303,0.8,1,22,1.78,3.44,1.47,0.43,NA,NA,NA,NA,NA,NA,516702,351537,4925732,1431601,0.67,657679,369392,236946,418309,657679,301045,472116,608762,NA,NA,NA,NA,NA,NA,NA,0.0992,0.155,29.102216748768473,3248,29707,1194,32491,50.9,0.5078728002469898,0.16699999999999998,0.0067733990147783255,NA,FALSE
Lynwood,Los Angeles,90262,Moderate,53.05,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.19,1.28,1.13,0.17,0.44,0.73,0.04,0.07,0.32,0.15,9184487,8139298,93584055,72910114,0.68,7055987,37182475,2562442,4872143,7055987,26907699,32562763,36688352,32264517,0,88134325,120945844,2962285,5230971.69,23415256,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Madera,Madera,93637,Low,74.19,0.6526121161585035,0.52,0.54,109,0.58,0.65,4.8,0.14,0.57,0.69,0.06,0.09,0.04,0,20633276,4301482,52620464,80848394,0.12,19061342,33048820,15168000,17446826,19061342,24908547,29482146,32474454,45908071,0,111663668,160891736,4807481,7083096.51,2974207,0.09140000000000001,0.139,28.176963694600428,149234,25554,58448,36656,33,0.4817547767744673,0.139,7.303965584250238e-4,FALSE,FALSE
Malibu,Los Angeles,90265,Moderate,69.44,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.37,1.37,8.89,0.19,0.1,0.79,0.02,0.03,0.02,0.81,28698788,3227940,73340341,53478768,-0.05,28642387,76949538,33786722,40118222,28642387,30593272,33819089,42679576,5438378,0,23295512,29404444,908055,1481100.8,1227829,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Mammoth Lakes,Mono,93546,Low,75.72,0.7002812792999271,0.5856,0.3373,13,0.56,0.67,3.88,0.06,0.45,0.7,0.05,0.06,0.08,0.09,14791696,3816488,31467261,46991386,0.68,13381499,23969472,5687184,5724510,13381499,28225760,27953084,31242292,20932481,0,51318310,73343433,2125168,2930729.49,3780962,0.05820000000000001,0.092,63.964020559680186,14008,38038,9732,36002,37.2,0.5315359707165986,0.29100000000000004,9.280411193603656e-4,FALSE,TRUE
Manhattan Beach,Los Angeles,90266,Moderate,68.11,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.32,0.38,3.51,0.05,0.65,0.75,0.07,0.13,-0.03,1.63,28259749,8044830,43359219,114808528,0.03,24694460,76814048,23367583,23860400,24694460,69352157,71608819,76132717,75104207,0,246288252,328587669,7731545,14511897.74,NA,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Manteca,San Joaquin,95337,Low,71.92,0.6505512612372483,0.5142,0.47950000000000004,515,0.55,0.44,4.75,0.1,0.63,0.68,0.07,0.1,0.19,0,14735547,3100956,77343637,174752593,0.01,27599896,50234701,27480751,30107459,27599896,38403438,41272030,46725070,109673039,0,245540082,361257645,11562174,18134366.37,33273063,0.0986,0.155,34.48103391291004,677736,31873,275719,41195,32.7,0.49792501451906157,0.179,7.598829042577051e-4,FALSE,FALSE
Maricopa,Kern,93252,Low,97.13,0.6575433079519254,0.4984,0.41200000000000003,588,1.26,0,79.71,-0.03,NA,NA,NA,NA,NA,NA,266797,3347,0,784109,-0.03,358889,285467,383505,383486,358889,276063,293149,260870,NA,NA,NA,NA,NA,NA,NA,0.097,0.146,54.873449804068485,830137,28567,349093,42475,30.7,0.515831547805498,0.149,7.083168199947719e-4,NA,FALSE
Marina,Monterey,93933,Low,78.66,0.6775766701887825,0.562,0.588,184,0.81,1.27,7.82,0.11,0.43,0.75,0.05,0.08,0.1,0,17094637,2186530,55617450,43956459,0.44,17172740,21127769,8345964,11524099,17172740,20998269,23534750,25837621,18963346,0,63716319,84507507,2050095,3733967.04,4190706,0.08360000000000001,0.12,53.21835993009362,410263,40035,217029,42677,32.9,0.5142184605080241,0.23199999999999998,4.484927960844629e-4,FALSE,FALSE
Martinez,Contra Costa,94553,Moderate,64.29,0.7539949308861223,0.6535,0.4758,854,0.47,0.75,5.96,0.06,0.76,0.71,0.32,0.11,0.15,0.58,12486842,2096104,39898249,52898458,-0.04,12734942,27322097,13683283,12358561,12734942,22210623,22232253,24789692,40410638,0,104527917,147661452,17054482,5985906.09,8181833,0.06060000000000001,0.10400000000000001,77.36020002119685,1037890,54015,481146,57960,38.5,0.48762013869562065,0.386,8.228232278950563e-4,FALSE,FALSE
Marysville,Yuba,95901,Moderate,49.76,0.6554745811224377,0.47740000000000005,0.47979999999999995,46,0.26,2.08,3.21,0.15,0.91,0.69,0.08,0.03,0,0,2507667,781194,33074544,15871328,0.54,2836230,10833892,1273110,2441490,2836230,8371179,9927864,10940017,14463503,0,34119361,49425260,1340862,533728.76,29938,0.11299999999999999,0.175,35.959417375396264,71607,30698,25911,44844,32.1,0.5038257880291647,0.136,6.4239529654922e-4,FALSE,FALSE
Maywood,Los Angeles,90270,Moderate,46.38,0.7442106236359122,0.5831000000000001,0.24059999999999998,4883,0.17,0.97,1.22,0.18,1.1,0.6,0.08,0.13,0.17,0,4925255,4042270,15272897,15809245,0.16,1902819,11147681,1438560,1565885,1902819,8042099,10989452,10830487,17387200,0,27586410,45711793,1248422,2013878.27,2765162,0.0688,0.11699999999999999,55.91363426446247,9787400,41288,5404390,53110,34.8,0.49290598502968647,0.295,4.989067576680222e-4,FALSE,TRUE
Mendota,Fresno,93640,Low,88.16,0.714652135684724,0.5144,0.4532,712,0.65,0.96,8.08,0.16,0,0.98,0.01,0.01,NA,NA,1423760,176168,9534066,9889505,1.5,1541274,2380738,292370,1017426,1541274,2156903,2340269,2865370,-3773,0,382516,390938,87172,118955.94,NA,0.1028,0.153,37.159897469066,921478,30167,424077,38372,30.6,0.4995577679695048,0.19399999999999998,7.726717295475313e-4,TRUE,FALSE
Menifee,Riverside,92586,Low,91.67,0.6519685051631071,0.5115,0.4153,1403,0.69,0.19,2.97,0.33,0,1,0.01,0.01,0,0,44886291,15113952,25226898,133176462,0.7,35070521,50959120,12552969,24827362,35070521,35830906,55729807,61101247,499769,0,8048919,8072488,727561,844555.23,250648,0.077,0.136,28.503218157891673,2146725,30588,819049,39435,33.7,0.4975940340630159,0.205,6.53553668960859e-4,TRUE,FALSE
