city,county,Employees,zipcode,overall_risk,overall_points,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,population,unemployment_rate,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_voter_reg_08,county_college_2008_12,county_avg_unemployed_05_09,county_per_cap_gdp_08,county_pop_08,county_per_cap_income_08,county_per_cap_1099_income_08,county_n_jobs_08,county_avg_wage_08,county_med_age_08,county_med_age_m_08,county_med_age_f_08,county_prop_m_08,county_prop_f_08
La Verne,Los Angeles,314,91750,Moderate,64.2,0.3,0.13,2.99,0.01,0.95,0.72,0.08,0.06,0.13,0.29,32096,0.044,10863194,3632521,7108727,54208371,0.06,9842672,32956063,10265939,6720907,9842672,30067188,28295880,30471201,51266006,0,133707619,185142295,4280435,2986614.97,7011361,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Lafayette,Contra Costa,125,94549,Low,95.41,0.76,0.22,7.34,0.05,NA,NA,NA,NA,0.01,0.49,26524,0.025,12269771,1670506,5148531,23412302,0.04,13370306,17583597,12563641,13019682,13370306,16243651,16972334,17917603,NA,NA,NA,NA,NA,NA,276174,0.753994931,0.386,0.0606,90.00304785,1023344,58611,12481,496937,58042,38.5,37.1,39.7,0.487620409,0.512379591
Laguna Beach,Orange,672,92651,Low,81.85,0.74,0.16,6.5,0.05,0.6,0.76,0.06,0.1,0.02,0,22931,0.029,65116892,10010650,17500465,109570278,0.06,60476246,81362920,54599119,61299559,60476246,73475115,76706195,81328850,65919168,0,205443966,268974329,6365025,11325202.39,2059862,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Laguna Hills,Orange,74,92653,Low,74.78,0.32,0.4,5.25,0.01,0.15,0.82,0.02,0.03,NA,NA,31395,0.028,6065376,1155159,9438700,23803214,-0.03,7245472,22730543,7787156,6750166,7245472,20643126,20743842,21243012,3610550,0,15895502,19418967,378900,754272.93,NA,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Laguna Niguel,Orange,217,92677,Low,90.47,1.64,0.02,17.63,0.01,0.15,0.79,0.01,0.03,0.03,0,66079,0.029,73240188,4154810,1162438,51202858,-0.05,74182720,45292108,82650625,73288649,74182720,45342516,40426512,45776989,7784390,0,28681313,36317350,472242,1517745,1425963,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Laguna Woods,Orange,14,92653,Low,95.37,1.87,0.01,29.31,0.05,0.01,0.97,0.01,0.01,0.01,0.59,15949,0.02,9657559,329511,99158,9012186,0.02,9878287,5278308,9541735,9578914,9878287,5233211,5558230,5711011,112334,0,2753621,2849205,62659,88559.63,46631,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Lake Elsinore,Riverside,130,92530,Moderate,54.8,0.25,2.79,2.85,0.06,0.13,0.74,0.01,0.02,0.23,0,68051,0.041,11898140,4179337,262333214,94190601,-0.03,10807854,42632954,11365894,11512307,10807854,36370680,38957258,40325413,12189277,0,33416606,45102887,1397703,1821152.37,21896884,0.651968505,0.205,0.077,30.31279435,2109712,31693,5525,862701,39323,33.7,32.7,34.6,0.497604859,0.502395141
Lake Forest,Orange,216,92630,Low,96.17,1.07,0.1,9.2,0.05,0.03,1.03,0.01,0.01,0,0.72,85381,0.027,54282249,5900567,7711439,76633278,0.09,50929392,47413701,42813074,47714770,50929392,46078402,48541157,50653071,2003930,0,30552899,29668643,509038,710205.32,194027,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Lakeport,Lake,64,95453,Low,78.07,0.76,1.15,4.27,0.14,0.66,0.79,0.03,0.08,0.36,0,4926,0.029,3306986,774005,15955143,13862948,0.19,3651520,4797822,2592805,2929957,3651520,4210280,4661759,5473700,6657708,2502997,25033393,31658236,478490,1090282.01,5044798,0.751828564,0.168,0.1006,26.49795006,64392,29721,5516,24538,33682,45,43.9,45.9,0.502110879,0.497889121
Lakewood,Los Angeles,585,90712,Low,83.14,0.62,0.17,6.4,0,0.48,0.78,0.02,0.07,0.01,0.91,79907,0.043,31110779,4859944,12552208,73491324,-0.04,31311741,50341598,34075647,33971985,31311741,46388748,45510196,46364813,35022074,0,121922863,156895235,1645864,4858699.66,966617,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
