city,county,Employees,zipcode,overall_risk,overall_points,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,population,unemployment_rate,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_voter_reg_08,county_college_2008_12,county_avg_unemployed_05_09,county_per_cap_gdp_08,county_pop_08,county_per_cap_income_08,county_per_cap_1099_income_08,county_n_jobs_08,county_avg_wage_08,county_med_age_08,county_med_age_m_08,county_med_age_f_08,county_prop_m_08,county_prop_f_08
Clayton,Contra Costa,45,94517,Low,83.18,1.18,0.02,15.77,0,0.64,0.76,0.08,0.1,0.07,0,12196,0.015,5644901,357928,150496,7656402,0.03,5584681,4734144,5309995,5844763,5584681,4386266,4347425,4371874,4901330,0,14993380,19666361,612898,747173.27,545327,0.753994931,0.386,0.0606,90.00304785,1023344,58611,12481,496937,58042,38.5,37.1,39.7,0.487620409,0.512379591
Clearlake,Lake,86,95422,Moderate,66.05,0.24,0.03,1.18,0.1,0.61,0.74,0.05,0.09,NA,NA,15355,0.101,431982,365219,343684,11858501,0.25,1395899,5769075,910972,1238888,1395899,4777093,5354085,5735451,7277873,0,19751830,26810881,600550,1105741.38,NA,0.751828564,0.168,0.1006,26.49795006,64392,29721,5516,24538,33682,45,43.9,45.9,0.502110879,0.497889121
Cloverdale,Sonoma,57,95425,Moderate,70.89,0.44,0.45,4.16,0.14,0.64,0.73,0.06,0.09,0.17,0,8844,0.016,2756362,662061,6736571,15126147,0.35,2925955,6634797,1623853,1931753,2925955,5462021,5488774,6989363,9677941,0,26346884,35886936,927082,1395069.2,2637635,0.745782988,0.321,0.0566,47.03317121,473091,43430,10169,276221,45078,39.9,38,41.6,0.491656988,0.508343012
Clovis,Fresno,720,93612,Moderate,59.78,0.24,1.06,13.42,0.07,0.74,0.68,0.05,0.12,NA,NA,111824,0.04,15546367,1158103,188991610,178281600,0.06,16042238,66430750,14704095,12860019,16042238,62144810,64316843,70732577,131386546,0,285241810,419738568,8389543,21519817.59,NA,0.714652136,0.194,0.1028,37.12329079,909630,30549,4517,441468,37825,30.6,29.8,31.6,0.499555054,0.500444946
Coachella,Riverside,94,92236,Moderate,57.19,0.31,1.16,1.08,0.04,0.33,0.74,0.01,0.05,0.08,0,45751,0.11,3369746,3134411,56532586,48776599,-0.09,7052413,23019293,8773073,6528245,7052413,20165178,20820299,21775038,16034519,0,45856893,61569814,611480,2439991.86,3698609,0.651968505,0.205,0.077,30.31279435,2109712,31693,5525,862701,39323,33.7,32.7,34.6,0.497604859,0.502395141
Coalinga,Fresno,122,93210,Moderate,64.29,-0.06,0.67,1.96,0.21,0.02,0.96,0.02,0.03,NA,NA,16774,0.081,2916605,1489308,16816075,25258779,0.66,-462031,7138944,-3907886,-1376016,-462031,6402039,7497262,9284751,513017,0,11091307,11544988,437786,654155.5,NA,0.714652136,0.194,0.1028,37.12329079,909630,30549,4517,441468,37825,30.6,29.8,31.6,0.499555054,0.500444946
Colfax,Placer,20,95713,Low,82.96,0.71,1.7,6.45,0.11,0.02,0.88,0.01,0.01,NA,NA,1996,0.05,2087816,323849,8787791,5162522,0.18,1477886,2094524,1067614,1158153,1477886,1958576,1968994,2378545,97040,0,686164,778585,44554,70481.02,NA,0.831388887,0.347,0.0606,46.07508709,337568,47986,9735,198859,45005,40.3,39,41.4,0.488333448,0.511666552
Colma,San Mateo,72,94014,Low,80.66,1.54,0.33,17.8,0.03,0.56,0.74,0.07,0.09,0.72,0.17,1492,NA,23433102,1316124,6303507,19228578,0.04,24456213,15866674,22594248,21547836,24456213,17719980,18125611,18745552,10682188,0,30591240,41089479,1264065,1706384.64,13892928,0.812809978,0.439,0.0504,83.74426637,703830,74932,21933,468661,72876,39.3,37.9,40.5,0.491568666,0.508431334
Colton,San Bernardino,441,92324,Moderate,64.01,0.39,0.65,9.11,0.09,0.92,0.71,0.05,0.11,0.24,0,54637,0.043,12961522,1422809,84155284,128647628,0.87,15170133,38944108,4502643,9937323,15170133,26453168,28599769,31354198,95088662,23819225,243111190,340039798,6849832,14004555.5,30436713,0.674809046,0.186,0.0736,34.97512396,2003735,29988,4061,885185,41008,31.7,30.6,32.8,0.497003749,0.502996251
Colusa,Colusa,62,95932,Low,79.62,0.7,0.84,9.98,0.07,0.42,0.72,0.03,0.06,0.1,0.45,6094,0.11,1631704,163421,13314752,15772215,-0.01,2422603,3485585,2471906,2374432,2422603,3084815,3109797,3497128,6658780,0,17072589,23694631,526658,1014376.3,1647472,0.660342512,0.135,0.1374,58.87517744,21134,38298,5241,10687,34759,33.5,32.5,34.6,0.514122975,0.485877025
Commerce,Los Angeles,615,90040,Low,86.16,0.96,0.16,8.09,0.05,0.34,0.73,0.02,0.05,0.65,0.05,12762,0.055,36952185,4569431,14118626,90330619,0.07,59647840,62204560,52400666,55268246,59647840,60504650,60330697,65655108,30403238,0,82702654,112888837,2059096,4578301.69,59004000,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Compton,Los Angeles,431,90220,High,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96348,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Concord,Contra Costa,653,94519,Moderate,54.9,0.27,0.35,1.42,0.05,1.14,0.64,0.1,0.15,0.23,0.42,129743,0.029,33418330,23486471,58779151,166151431,0.02,29008546,108726409,28124434,30097554,29008546,97386567,100831919,107044203,189844803,0,354524851,556565288,17285048,24549422.58,37541342,0.753994931,0.386,0.0606,90.00304785,1023344,58611,12481,496937,58042,38.5,37.1,39.7,0.487620409,0.512379591
Corcoran,Kings,85,93212,Moderate,62.76,0.33,1.42,4.73,0.03,0.47,0.76,0.05,0.07,NA,NA,21720,0.155,2204379,466328,24821219,17437688,-0.05,2027150,6097312,2271943,2456742,2027150,5066631,5025241,5401590,8158790,0,25013766,33018831,830062,1267045.68,NA,0.634274693,0.124,0.1036,34.93159768,152027,25392,3690,58713,40187,31.1,31.8,30,0.56440627,0.43559373
Corning,Tehama,70,96021,Moderate,68.46,0.3,0.77,16.62,0.18,0.69,0.75,0.04,0.09,NA,NA,7564,0.067,2075258,124882,8842232,11502396,1.68,1748527,5915665,334880,1367395,1748527,4517803,5511564,6296797,6432003,1520000,19559318,26009318,507476,1071965.29,NA,0.727765878,0.131,0.0878,24.50521964,62648,26990,4736,23994,34328,39.5,38.1,40.7,0.498085499,0.501914501
Corona,Riverside,900,92882,Moderate,67.9,0.51,0.48,3.63,0.03,0.83,0.68,0.1,0.1,0.37,0.24,168476,0.034,84536819,23271911,152181634,314390034,0.08,77102894,151400075,66653089,75877383,77102894,137861676,139092871,145172129,259889622,0,534199998,783808740,32460632,33009579.59,115023187,0.651968505,0.205,0.077,30.31279435,2109712,31693,5525,862701,39323,33.7,32.7,34.6,0.497604859,0.502395141
Coronado,San Diego,711,92118,Low,87.17,1.28,0.09,22.29,0.04,0.61,0.78,0.07,0.11,0.02,0.63,21336,0.03,76468266,3429870,7426056,78174670,0.07,72094218,56485790,63581920,66455353,72094218,56085443,58663533,60356238,47833958,0,169742633,216399073,5195018,8650432.57,1430993,0.725171467,0.344,0.0574,59.13658278,3022116,44860,9670,1882625,50388,34.6,33.2,36.1,0.501945684,0.498054316
Corte Madera,Marin,116,94925,Low,74.93,0.54,0.34,5.92,0.02,0.63,0.73,0.05,0.09,0.31,0.16,9803,0.032,10525425,1776604,10409804,30471744,0.24,11122829,20788660,7327040,8356614,11122829,22468841,21867605,23185991,19180989,0,50011076,68605012,1667342,2765744.58,9522000,0.858973581,0.546,0.047,67.96443611,248398,90003,30928,181971,56427,44.5,43,46,0.491551411,0.508448589
Costa Mesa,Orange,854,92626,Moderate,53.5,0.41,0.36,8.82,0.01,2.09,0.63,0.14,0.26,0.37,0,113302,0.027,45076458,5110675,52487533,145141286,-0.08,53185562,131234700,61986376,60811286,53185562,122002181,121469035,124030214,303273871,0,493483626,789155895,20052791,37647371.14,53432728,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Cotati,Sonoma,57,94931,Low,82.28,0.92,0.32,13.97,0.02,0.69,0.7,0.07,0.09,0.02,0,7584,0.03,5191720,371502,4985415,15404661,0.21,5686944,6199893,3918034,4527879,5686944,6957325,6961261,7188323,10577410,0,23907369,34051404,1153203,1340993.87,289755,0.745782988,0.321,0.0566,47.03317121,473091,43430,10169,276221,45078,39.9,38,41.6,0.491656988,0.508343012
Covina,Los Angeles,462,91723,Moderate,51.17,0.14,0.71,1.71,0.06,0.92,0.72,0.05,0.14,0.1,0.07,47820,0.049,4967621,2903656,45207490,63314449,0.12,5270236,36392605,5808211,3099344,5270236,34659718,33140919,38364088,58104710,0,153673439,212400014,3393655,8949891.56,6074022,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Crescent City,Del Norte,161,95531,Moderate,55.74,0.38,2.16,2.43,0.04,0.55,0.72,0.05,0.08,0.06,0.24,6805,0.047,2088167,860454,40675663,18791627,0.07,2012926,5359774,1782272,2055859,2012926,4921753,5020830,5327861,10325662,0,25771225,35846648,948296,1476250.55,1154528,0.711935774,0.138,0.0856,29.97161005,28496,25942,4397,11294,34685,39.1,37.3,42.2,0.555994408,0.444005592
Cudahy,Los Angeles,56,90201,Moderate,64.07,0.17,0.05,1.4,0.12,0.3,0.71,0.01,0.04,0.23,0,23755,0.047,2321059,1662266,546284,11844184,0.09,1308571,7834362,1241974,906223,1308571,6667895,7055659,8258918,3539977,0,8340032,11763024,101829,469071.77,2697991,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Culver City,Los Angeles,883,90232,Moderate,65.02,0.55,0.24,10.91,0.06,1.27,0.66,0.09,0.18,0.48,0.31,39059,0.043,60450721,5538419,44333261,184840396,0.03,66499189,121125413,63426373,62579714,66499189,103831355,104550462,115731351,234345914,0,462606274,696376262,17214768,32419806.86,87968000,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Cupertino,Santa Clara,487,95014,Low,81.08,0.57,0.36,4.22,0.06,0.4,0.7,0.05,0.07,0,0.99,60004,0.027,63889867,15155735,37244801,103918587,0.01,50790986,89312202,50369085,51695980,50790986,77857048,92812954,85106536,41144402,0,93476845,134356434,4807182,6892496.47,415000,0.706005812,0.46,0.0628,91.79353048,1740964,61220,12764,1164619,81944,36.2,35.3,37.1,0.501700678,0.498299322
Cypress,Orange,252,90630,Moderate,63.9,0.43,0.1,7.94,0.01,0.96,0.75,0.08,0.15,0.18,0,48826,0.032,14317302,1803102,4865866,46936015,-0.08,16030834,37113888,18941670,19103087,16030834,32400250,32054266,33158138,45256290,0,134270491,179089438,3710784,6962374.72,8335993,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Daly City,San Mateo,717,94015,Moderate,61.32,0.41,0.19,5.52,0.03,1.3,0.76,0.09,0.17,0.33,0.17,106869,0.023,41286151,7485790,27623406,142034188,0.07,34636736,84255519,30428218,34793026,34636736,79172396,78976778,84058262,164352104,20520000,491921985,646540115,13131734,24165623.94,47370810,0.812809978,0.439,0.0504,83.74426637,703830,74932,21933,468661,72876,39.3,37.9,40.5,0.491568666,0.508431334
Dana Point,Orange,106,92629,Low,80.1,0.54,0.01,7.34,0.04,0.12,0.82,0.02,0.03,0.03,0,33629,0.028,20924747,2851252,472468,43035248,0.03,21139085,39026027,19897356,20163715,21139085,36459813,36748139,39280270,5236362,0,22523501,27618774,665655,1238947.48,1479785,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Danville,Contra Costa,315,94526,Low,90.63,0.65,0.21,4.51,0.03,NA,NA,NA,NA,NA,NA,44683,0.028,22355193,4953674,8194725,38504239,-0.02,18037776,27599075,18719466,17562289,18037776,25643723,25604120,26781154,NA,NA,NA,NA,NA,NA,NA,0.753994931,0.386,0.0606,90.00304785,1023344,58611,12481,496937,58042,38.5,37.1,39.7,0.487620409,0.512379591
Davis,Yolo,872,95616,Moderate,58.2,0.41,1.02,2.79,0.01,0.95,0.66,0.07,0.13,0.45,0.33,69220,0.027,29785979,10691357,133881950,130690004,0.09,25768877,62116746,21551825,23119561,25768877,62513133,61940135,63405660,123968790,0,244919475,369523819,9096310,16991996.27,58935000,0.81366065,0.38,0.0706,56.2183978,197154,39974,7269,124492,46187,30.4,29.8,31.1,0.487605116,0.512394884
Del Mar,San Diego,178,92014,Low,77.08,0.48,0.87,3.66,0.15,0.42,0.75,0.04,0.07,NA,NA,4335,0.024,7445427,2032220,24295395,28070879,0.25,8733727,18348197,5722170,7881477,8733727,14656953,16090245,19092457,11919983,0,36052172,47928670,1016988,1967535.24,NA,0.725171467,0.344,0.0574,59.13658278,3022116,44860,9670,1882625,50388,34.6,33.2,36.1,0.501945684,0.498054316
Del Rey Oaks,Monterey,28,93940,Moderate,53.04,0.25,1.89,1.71,0.18,0.44,0.76,0.05,0.07,0.07,0,1662,0.07,881136,516647,6698621,3539430,0.97,736519,2980402,202978,298225,736519,2503500,2921096,3466512,1551296,0,4667338,6171809,184174,233291.32,262825,0.67757667,0.232,0.0836,50.36278083,406022,40587,9460,223750,42425,32.9,32.2,33.9,0.514220938,0.485779062
Delano,Kern,412,93216,Low,85.11,1.18,0.87,28.14,0.08,0.27,0.71,0.04,NA,0.04,0,52921,0.23,24773474,880514,64740608,74445624,0.09,31147794,26387879,25999054,28980680,31147794,22554540,23220819,26262035,20399293,0,49513540,69552182,3060186,NA,2636391,0.657543308,0.149,0.097,52.20654335,818327,29257,3963,364533,41733,30.7,30.1,31.3,0.515831359,0.484168641
Desert Hot Springs,Riverside,123,92240,Low,75.93,0.64,1.72,5.37,0.23,0.56,0.72,0.02,0.08,NA,NA,28815,0.058,8849570,1648133,42082052,24480320,0.21,8898679,13802868,6175598,8455432,8898679,9317321,11853727,14000195,11703695,2101541,30308346,41869995,538756,1897684.12,NA,0.651968505,0.205,0.077,30.31279435,2109712,31693,5525,862701,39323,33.7,32.7,34.6,0.497604859,0.502395141
Diamond Bar,Los Angeles,147,91765,Low,90.62,0.92,0.31,7.05,-0.01,0.17,0.8,0.01,0.04,0.02,0.31,56106,0.036,25830783,3661974,10055196,32188929,0,23940147,25934438,23850943,24879854,23940147,24355398,23436386,23861585,5537585,0,21228215,26652612,418739,1171333.97,541295,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Dinuba,Tulare,235,93618,Moderate,51.59,0.09,0.65,0.73,0.06,0.29,0.74,0.03,0.06,0.36,0,24236,0.133,4807116,6550173,43224142,66614703,0.15,1533739,16734085,1219528,1113239,1533739,14561741,17727474,15943197,19286545,0,53410651,72460208,2289428,3832340.17,23684732,0.604518561,0.133,0.1066,31.18263477,429283,28708,3686,188438,33537,29.6,28.8,30.5,0.500797188,0.499202812
Dixon,Solano,212,95620,Low,80.91,0.77,0.83,10.38,0.14,0.6,0.72,0.05,0.09,0.1,0,20478,0.04,13285240,1279509,29672509,35718956,0.39,13824258,17990490,7306198,11292148,13824258,15211636,19433514,19486919,21265136,0,54845206,75680775,1928676,3223846.91,3625000,0.695694573,0.242,0.0662,45.98817523,408972,38030,6022,178995,46543,36.9,35.6,38.2,0.498845998,0.501154002
Dorris,Siskiyou,19,96023,Low,95.13,1.47,0,4.72,-0.19,NA,NA,NA,NA,NA,NA,898,NA,462591,97904,5800,1923965,-0.01,472414,320311,481097,484195,472414,475389,480742,290885,NA,NA,NA,NA,NA,NA,NA,0.784702383,0.231,0.1008,32.44723091,44780,31784,6697,22084,32841,47,45.7,48.2,0.498775056,0.501224944
Dos Palos,Merced,49,93620,Low,90.32,0.9,0.05,18.98,0.04,0.58,0.77,0.05,0.09,NA,NA,5502,0.063,950353,50072,233785,5123653,0.37,1150805,1284979,618620,799234,1150805,1477640,1553616,1586552,2949546,0,9985316,12889130,274479,478812.21,NA,0.692389903,0.125,0.1188,29.54194972,250538,26936,3459,90756,35639,29.6,28.7,30.5,0.50328586,0.49671414
Downey,Los Angeles,1060,90241,Moderate,50.21,0.27,0.77,4.95,0.05,1.49,0.69,0.11,0.19,0.06,0.46,111915,0.044,19810275,4004967,104990046,136748995,-0.09,25552833,93563355,30665587,26647301,25552833,81145542,82289261,88896783,186480929,16976259,413588527,601459551,14871828,25744409.67,7847903,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Duarte,Los Angeles,232,91010,Moderate,70.23,0.38,0.1,2.84,0.1,0.71,0.72,0.02,0.1,0.24,0.37,21454,0.056,5575930,1961284,1937287,19864926,-0.06,6507377,17200238,8467818,4990461,6507377,14574808,14479539,17406626,14098986,0,34314352,47816640,421885,1927843.76,4755416,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Dublin,Alameda,511,94568,Low,96.19,1.96,0.07,9.84,0.05,0.11,0.78,0.01,0.02,0,1,63423,0.027,129778090,13187380,9666278,135638415,0.14,140167275,71634005,107875143,120454784,140167275,82928041,83945628,91220858,14398145,0,49188175,63226319,1018096,2834031.8,NA,0.813018889,0.411,0.0622,62.71487157,1477208,48524,8583,903624,60165,36.6,35.6,37.5,0.490357691,0.509642309
Dunsmuir,Siskiyou,26,96025,Moderate,69.28,0.28,0.72,1.33,0.12,0.27,0.75,0.02,0.04,NA,NA,1568,0.042,280481,211081,3209853,4438977,0.32,380576,1336368,227167,242444,380576,1179789,1402643,1474498,1219218,0,3543792,4754646,80035,197148.36,NA,0.784702383,0.231,0.1008,32.44723091,44780,31784,6697,22084,32841,47,45.7,48.2,0.498775056,0.501224944
East Palo Alto,San Mateo,132,94303,Low,94.6,1.2,0.12,12.16,0.09,0.24,0.75,0.04,0.06,NA,NA,29486,0.028,26777732,2201322,5543646,44934308,0.26,26078334,21766493,16677311,18424236,26078334,24628405,23735283,29068690,10853587,0,32149523,42791808,1642560,2581354.47,NA,0.812809978,0.439,0.0504,83.74426637,703830,74932,21933,468661,72876,39.3,37.9,40.5,0.491568666,0.508431334
Eastvale,Riverside,33,91752,Low,99.38,1.54,0,8.93,0.17,0,0.95,0,0,0,1.02,63815,0.032,38708108,4332967,49022,41003097,0.29,30934729,20085821,18748516,21715083,30934729,21668559,22532636,28955164,35121,0,572332,601844,56387,116678.25,NA,0.651968505,0.205,0.077,30.31279435,2109712,31693,5525,862701,39323,33.7,32.7,34.6,0.497604859,0.502395141
El Cajon,San Diego,602,92020,Low,73.17,0.72,0.26,14.95,0.02,1.81,0.65,0.13,0.22,0.02,0.63,103041,0.037,43195661,2890035,27564532,104761833,0.18,48792571,68083485,35646345,39162325,48792571,72121594,69151418,74489689,190031165,0,358793914,549100127,13206060,23006339.08,2023551,0.725171467,0.344,0.0574,59.13658278,3022116,44860,9670,1882625,50388,34.6,33.2,36.1,0.501945684,0.498054316
El Centro,Imperial,391,92243,Low,84.35,0.7,0.95,5.77,0.14,0.42,0.68,0.04,0.03,-0.01,1.22,44089,0.142,20665217,3582076,209927985,221739749,0.1,21027649,30219296,17568461,18241276,21027649,24955739,26251619,32084395,94101603,0,200912761,293401489,8446157,6975650.06,NA,0.6502365,0.132,0.2002,42.24373947,167917,28182,3104,74053,34148,31.9,31,33.2,0.51364824,0.48635176
El Cerrito,Contra Costa,384,94530,High,34.08,-0.06,0.52,0.42,0.07,1.35,0.68,0.12,0.21,0.06,0,25607,0.026,3419338,8159439,24015248,45919588,-6.05,-2233507,36569654,1713302,-186227,-2233507,31471869,34476441,35783921,61775131,0,130832450,192689091,5707962,9474973.29,2845887,0.753994931,0.386,0.0606,90.00304785,1023344,58611,12481,496937,58042,38.5,37.1,39.7,0.487620409,0.512379591
El Monte,Los Angeles,548,91731,Moderate,42.66,0.28,0.53,2.3,0.03,1.48,0.73,0.17,0.16,1.05,0,115308,0.046,21163041,9219970,55793676,105760451,-0.12,19665898,70873602,25607026,23513916,19665898,59885733,59605939,63266449,156790205,0,374930604,514374695,18443224,16793294.19,110968969,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
El Segundo,Los Angeles,577,90245,Moderate,63.16,0.38,0.23,5.8,0.08,1.24,0.65,0.05,0.16,0.36,0.35,16663,0.054,25050707,4317191,25774970,113117444,0.14,26642651,71002974,20927056,21269426,26642651,65188304,71701660,75913284,140278839,0,263866932,404145780,5545641,17718013.16,41081886,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Elk Grove,Sacramento,379,95758,Low,82.18,0.48,0.23,9.18,0.05,0.1,0.88,0.03,0.04,0.01,0.77,172603,0.033,29688046,3232241,37381598,160535427,0.11,34575709,72612186,27941045,30805599,34575709,60606681,61880063,66168787,16537686,0,103238228,117228186,4283503,6208090.48,1816069,0.735014398,0.279,0.0674,52.51903347,1394438,39207,6314,801064,51750,34.8,33.5,36.1,0.489708822,0.510291178
Emeryville,Alameda,265,94608,Low,87.3,0.85,0.15,6.81,0.03,0.64,0.76,0.05,0.06,0.06,0.36,12109,0.022,42015402,6172749,10002157,68561440,0,38435918,44978326,38294498,40288031,38435918,42794185,40302625,45265934,44124875,0,89122144,117643361,3172222,4371284.04,4440807,0.813018889,0.411,0.0622,62.71487157,1477208,48524,8583,903624,60165,36.6,35.6,37.5,0.490357691,0.509642309
Encinitas,San Diego,414,92024,Moderate,66.7,0.37,0.67,2.94,0.04,0.5,0.77,0.05,0.07,0.08,0.28,62750,0.027,33688042,11454224,75647923,112730366,-0.06,27026004,73795389,31775120,23452126,27026004,68741083,69421860,73848258,56111274,0,154154905,200667636,5707848,7969065.11,9460796,0.725171467,0.344,0.0574,59.13658278,3022116,44860,9670,1882625,50388,34.6,33.2,36.1,0.501945684,0.498054316
Escalon,San Joaquin,79,95320,Low,88.01,0.83,0.44,8.99,0.11,0.58,0.7,0.1,0.07,NA,NA,7566,0.033,3389661,376948,4258005,9737289,0.13,3261292,3935823,2587959,3099827,3261292,3329107,3574622,4097898,5646735,0,13174509,18692745,937204,707735.9,NA,0.650551261,0.179,0.0986,35.11675292,671692,32080,4692,287022,40880,32.7,31.5,34,0.497923555,0.502076445
Escondido,San Diego,1204,92025,Moderate,55.17,0.22,0.95,3.99,0.04,1.06,0.7,0.09,0.15,NA,NA,151793,0.032,19660044,4932883,225895819,237617478,0.06,21994712,101669305,19794792,21175350,21994712,90719285,91880900,98173842,251924841,0,579747208,822987373,22456924,36037140.77,NA,0.725171467,0.344,0.0574,59.13658278,3022116,44860,9670,1882625,50388,34.6,33.2,36.1,0.501945684,0.498054316
Etna,Siskiyou,51,96027,Low,76.34,0.43,0.24,3.44,0.15,0.18,0.83,0.02,0.05,0.08,0,717,NA,336400,97911,394615,1666863,-0.02,419329,978003,448223,366507,419329,659296,825299,864942,305677,0,1417957,1715161,38523,80229.41,138445,0.784702383,0.231,0.1008,32.44723091,44780,31784,6697,22084,32841,47,45.7,48.2,0.498775056,0.501224944
Eureka,Humboldt,492,95501,Moderate,54.56,0.17,0.6,1.15,0.01,0.93,0.65,0.07,0.11,NA,NA,26968,0.035,4414094,3849388,37515279,62160467,0.2,5459419,31703489,3901949,5496656,5459419,31186318,31657193,31640271,57792623,0,108021507,165301112,4514818,6779783.69,NA,0.795584776,0.264,0.0718,35.8654123,132657,31084,6269,70605,34145,37.1,35.9,38.6,0.502105881,0.497894119
Exeter,Tulare,69,93221,Moderate,46.68,0.03,0.96,0,0.09,0.48,0.78,0.05,0.08,NA,NA,10508,0.097,0,970030,10410167,10896305,-0.41,174662,5387825,527660,380045,174662,4319685,4462829,5105105,5265163,0,17038846,21931629,586271,884267.43,NA,0.604518561,0.133,0.1066,31.18263477,429283,28708,3686,188438,33537,29.6,28.8,30.5,0.500797188,0.499202812
Fairfax,Marin,56,94930,Low,72.74,0.47,0.57,9.96,0.08,0.73,0.85,0.04,0.08,0.13,0.34,7560,0.022,3543658,355617,6898802,12113755,0.27,4196952,9013898,2652478,3039316,4196952,7834243,8216849,9116508,5318211,3493000,28810293,33722356,449322,979124.65,1524756,0.858973581,0.546,0.047,67.96443611,248398,90003,30928,181971,56427,44.5,43,46,0.491551411,0.508448589
Fairfield,Solano,575,94533,Moderate,57.96,0.28,0.58,8.54,0.03,0.94,0.72,0.06,0.12,0.01,0,116678,0.037,20005735,2343663,126984906,220806795,0.04,27540380,98947364,25294235,25645036,27540380,94903721,94344250,100586928,175703068,31871329,451283326,630633231,13512677,26465669.9,3153300,0.695694573,0.242,0.0662,45.98817523,408972,38030,6022,178995,46543,36.9,35.6,38.2,0.498845998,0.501154002
Farmersville,Tulare,41,93223,Low,93.43,0.73,0.17,12.79,0.11,0.12,0.83,0.02,0.03,NA,NA,10729,0.119,1477079,115473,1980178,11414240,0.06,2343135,3231267,2117787,2036389,2343135,2892559,3012839,3527041,1394031,0,6181413,7489496,282522,384041.29,NA,0.604518561,0.133,0.1066,31.18263477,429283,28708,3686,188438,33537,29.6,28.8,30.5,0.500797188,0.499202812
Ferndale,Humboldt,30,95536,Low,75.14,0.6,2.33,12.74,0.03,NA,NA,NA,NA,NA,NA,1363,0.015,433370,34012,4525593,1938289,0.09,551388,917238,471632,480642,551388,926816,936880,987984,NA,NA,NA,NA,NA,NA,NA,0.795584776,0.264,0.0718,35.8654123,132657,31084,6269,70605,34145,37.1,35.9,38.6,0.502105881,0.497894119
Fillmore,Ventura,130,93015,Low,74.57,0.83,2.56,3.02,0.04,0.28,0.75,0.03,0.04,0.04,0,15742,0.033,5622449,1863837,57388537,22391900,0.04,6377389,7692619,5971453,6008707,6377389,7011139,6766481,7452139,6283886,0,18418446,24467402,592572,872335.13,984828,0.813841698,0.312,0.0604,62.91647579,806353,45937,8871,441320,48206,36.2,34.8,37.7,0.496732733,0.503267267
Firebaugh,Fresno,56,93622,Low,85.15,0.96,0.75,4.55,0.25,0.35,0.76,0.04,0.06,0.31,0,8315,0.127,4795324,1052988,8402733,11188513,0.53,2958271,3066637,1264831,1940441,2958271,3403613,3763662,5230212,3913188,0,12131582,15955466,435257,668628.45,3458648,0.714652136,0.194,0.1028,37.12329079,909630,30549,4517,441468,37825,30.6,29.8,31.6,0.499555054,0.500444946
Folsom,Sacramento,877,95630,Moderate,48.17,0.21,1.04,2.27,0.05,0.9,0.65,0.09,0.13,0.68,0.05,78842,0.028,16399598,7213790,158799534,152358337,0.21,17568624,85284054,12184346,16738227,17568624,71264434,76561301,78183863,137795425,0,270953661,417324465,13106496,19914655.26,103465277,0.735014398,0.279,0.0674,52.51903347,1394438,39207,6314,801064,51750,34.8,33.5,36.1,0.489708822,0.510291178
